Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 9.438622112583030521e-01 9.438622112583030521e-01 9.438622112583030521e-01 9.438622112583030521e-01
1.000000000000000000e+00 4.413715016399651359e-01 4.413715016399651359e-01 4.413715016399651359e-01 4.413715016399651359e-01
2.000000000000000000e+00 2.894682576705528629e-02 2.894682576705528629e-02 2.894682576705528629e-02 2.894682576705528629e-02
3.000000000000000000e+00 5.611088140752134912e+00 5.611088140752134912e+00 5.611088140752134912e+00 5.611088140752134912e+00
4.000000000000000000e+00 4.896914736507219645e-01 4.896914736507219645e-01 4.896914736507219645e-01 4.896914736507219645e-01
5.000000000000000000e+00 2.430147314341422948e+00 2.430147314341422948e+00 2.430147314341422948e+00 2.430147314341422948e+00
6.000000000000000000e+00 -2.149990313895166594e+00 -2.149990313895166594e+00 -2.149990313895166594e+00 -2.149990313895166594e+00
7.000000000000000000e+00 -8.204235569270527106e-01 -8.204235569270527106e-01 -8.204235569270527106e-01 -8.204235569270527106e-01
8.000000000000000000e+00 -9.945752906736760046e-01 -9.945752906736760046e-01 -9.945752906736760046e-01 -9.945752906736760046e-01
9.000000000000000000e+00 8.011471106772267703e-01 8.011471106772267703e-01 8.011471106772267703e-01 8.011471106772267703e-01
1.000000000000000000e+01 1.227966599373528034e+00 1.227966599373528034e+00 1.227966599373528034e+00 1.227966599373528034e+00
1.100000000000000000e+01 1.659858441605756463e+00 1.659858441605756463e+00 1.659858441605756463e+00 1.659858441605756463e+00
1.200000000000000000e+01 -8.267167953986351292e-02 -8.267167953986351292e-02 -8.267167953986351292e-02 -8.267167953986351292e-02
1.300000000000000000e+01 -3.720045154788247932e-01 -3.720045154788247932e-01 -3.720045154788247932e-01 -3.720045154788247932e-01
1.400000000000000000e+01 -2.571369029260078265e-01 -2.571369029260078265e-01 -2.571369029260078265e-01 -2.571369029260078265e-01
1.500000000000000000e+01 -5.839108384181727063e-01 -5.839108384181727063e-01 -5.839108384181727063e-01 -5.839108384181727063e-01
1.600000000000000000e+01 -3.802286950378024333e-01 -3.802286950378024333e-01 -3.802286950378024333e-01 -3.802286950378024333e-01
1.700000000000000000e+01 -1.557487264891893319e-01 -1.557487264891893319e-01 -1.557487264891893319e-01 -1.557487264891893319e-01
1.800000000000000000e+01 -5.155441383972722003e-01 -5.155441383972722003e-01 -5.155441383972722003e-01 -5.155441383972722003e-01
1.900000000000000000e+01 -8.257115886155919071e-02 -8.257115886155919071e-02 -8.257115886155919071e-02 -8.257115886155919071e-02
2.000000000000000000e+01 -4.598899549886652505e-01 -4.598899549886652505e-01 -4.598899549886652505e-01 -4.598899549886652505e-01
2.100000000000000000e+01 9.693504556941683059e-02 9.693504556941683059e-02 9.693504556941683059e-02 9.693504556941683059e-02
2.200000000000000000e+01 -1.291139750182798418e-01 -1.291139750182798418e-01 -1.291139750182798418e-01 -1.291139750182798418e-01
2.300000000000000000e+01 8.611938193482990278e-02 8.611938193482990278e-02 8.611938193482990278e-02 8.611938193482990278e-02
2.400000000000000000e+01 -2.561762569825503516e-02 -2.561762569825503516e-02 -2.561762569825503516e-02 -2.561762569825503516e-02
2.500000000000000000e+01 7.210799915957822118e-03 7.210799915957822118e-03 7.210799915957822118e-03 7.210799915957822118e-03
2.600000000000000000e+01 1.459816955055718291e-01 1.459816955055718291e-01 1.459816955055718291e-01 1.459816955055718291e-01
2.700000000000000000e+01 -2.481864269400830408e-02 -2.481864269400830408e-02 -2.481864269400830408e-02 -2.481864269400830408e-02
2.800000000000000000e+01 1.785770472046578350e-01 1.785770472046578350e-01 1.785770472046578350e-01 1.785770472046578350e-01
2.900000000000000000e+01 -2.163337827080341891e-01 -2.163337827080341891e-01 -2.163337827080341891e-01 -2.163337827080341891e-01
3.000000000000000000e+01 1.643232824853992080e-02 1.643232824853992080e-02 1.643232824853992080e-02 1.643232824853992080e-02
3.100000000000000000e+01 7.806257824815758528e-02 7.806257824815758528e-02 7.806257824815758528e-02 7.806257824815758528e-02
3.200000000000000000e+01 -1.208396995070952773e-01 -1.208396995070952773e-01 -1.208396995070952773e-01 -1.208396995070952773e-01
3.300000000000000000e+01 -9.720445890607426476e-02 -9.720445890607426476e-02 -9.720445890607426476e-02 -9.720445890607426476e-02
3.400000000000000000e+01 -1.456683139397139670e-01 -1.456683139397139670e-01 -1.456683139397139670e-01 -1.456683139397139670e-01
3.500000000000000000e+01 6.824777056900596661e-02 6.824777056900596661e-02 6.824777056900596661e-02 6.824777056900596661e-02
3.600000000000000000e+01 5.059945370382400859e-02 5.059945370382400859e-02 5.059945370382400859e-02 5.059945370382400859e-02
3.700000000000000000e+01 -1.435175091362018984e-01 -1.435175091362018984e-01 -1.435175091362018984e-01 -1.435175091362018984e-01
3.800000000000000000e+01 -2.974660339209839882e-02 -2.974660339209839882e-02 -2.974660339209839882e-02 -2.974660339209839882e-02
3.900000000000000000e+01 -4.044510409201639012e-02 -4.044510409201639012e-02 -4.044510409201639012e-02 -4.044510409201639012e-02
4.000000000000000000e+01 -6.033983438359251383e-02 -6.033983438359251383e-02 -6.033983438359251383e-02 -6.033983438359251383e-02
4.100000000000000000e+01 4.525596000123957574e-02 4.525596000123957574e-02 4.525596000123957574e-02 4.525596000123957574e-02
4.200000000000000000e+01 -2.508170929155933634e-02 -2.508170929155933634e-02 -2.508170929155933634e-02 -2.508170929155933634e-02
4.300000000000000000e+01 -2.534394609225911268e-02 -2.534394609225911268e-02 -2.534394609225911268e-02 -2.534394609225911268e-02
4.400000000000000000e+01 1.352206448678659190e-01 1.352206448678659190e-01 1.352206448678659190e-01 1.352206448678659190e-01
4.500000000000000000e+01 4.037085691438742352e-03 4.037085691438742352e-03 4.037085691438742352e-03 4.037085691438742352e-03
