Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 4.552516644085503883e-02 4.552516644085503883e-02 4.552516644085503883e-02 4.552516644085503883e-02
1.000000000000000000e+00 -2.243986121397712266e-02 -2.243986121397712266e-02 -2.243986121397712266e-02 -2.243986121397712266e-02
2.000000000000000000e+00 -5.948168125521514221e-02 -5.948168125521514221e-02 -5.948168125521514221e-02 -5.948168125521514221e-02
3.000000000000000000e+00 9.490264305252460453e-02 9.490264305252460453e-02 9.490264305252460453e-02 9.490264305252460453e-02
4.000000000000000000e+00 2.465225431625766087e-02 2.465225431625766087e-02 2.465225431625766087e-02 2.465225431625766087e-02
5.000000000000000000e+00 -5.597406443514062191e-02 -5.597406443514062191e-02 -5.597406443514062191e-02 -5.597406443514062191e-02
6.000000000000000000e+00 -2.754315581825635129e-02 -2.754315581825635129e-02 -2.754315581825635129e-02 -2.754315581825635129e-02
7.000000000000000000e+00 -1.145762116969465255e-01 -1.145762116969465255e-01 -1.145762116969465255e-01 -1.145762116969465255e-01
8.000000000000000000e+00 5.809212990352407430e-02 5.809212990352407430e-02 5.809212990352407430e-02 5.809212990352407430e-02
9.000000000000000000e+00 7.097109306138929541e-02 7.097109306138929541e-02 7.097109306138929541e-02 7.097109306138929541e-02
1.000000000000000000e+01 -1.268564832902472073e-01 -1.268564832902472073e-01 -1.268564832902472073e-01 -1.268564832902472073e-01
1.100000000000000000e+01 7.249835683515903906e-02 7.249835683515903906e-02 7.249835683515903906e-02 7.249835683515903906e-02
1.200000000000000000e+01 -1.046733480586271442e-01 -1.046733480586271442e-01 -1.046733480586271442e-01 -1.046733480586271442e-01
1.300000000000000000e+01 1.186607603628177660e-01 1.186607603628177660e-01 1.186607603628177660e-01 1.186607603628177660e-01
1.400000000000000000e+01 -2.912700351673879751e-01 -2.912700351673879751e-01 -2.912700351673879751e-01 -2.912700351673879751e-01
1.500000000000000000e+01 -9.704677032162185857e-02 -9.704677032162185857e-02 -9.704677032162185857e-02 -9.704677032162185857e-02
1.600000000000000000e+01 -1.361405501460848655e-01 -1.361405501460848655e-01 -1.361405501460848655e-01 -1.361405501460848655e-01
1.700000000000000000e+01 9.287234092010408087e-03 9.287234092010408087e-03 9.287234092010408087e-03 9.287234092010408087e-03
1.800000000000000000e+01 1.309656644351768484e-01 1.309656644351768484e-01 1.309656644351768484e-01 1.309656644351768484e-01
1.900000000000000000e+01 -3.027527821769164240e-01 -3.027527821769164240e-01 -3.027527821769164240e-01 -3.027527821769164240e-01
2.000000000000000000e+01 -9.853147649363389049e-02 -9.853147649363389049e-02 -9.853147649363389049e-02 -9.853147649363389049e-02
2.100000000000000000e+01 -5.936413651605741693e-02 -5.936413651605741693e-02 -5.936413651605741693e-02 -5.936413651605741693e-02
2.200000000000000000e+01 -4.413281591039617396e-02 -4.413281591039617396e-02 -4.413281591039617396e-02 -4.413281591039617396e-02
2.300000000000000000e+01 2.698839034553683902e-01 2.698839034553683902e-01 2.698839034553683902e-01 2.698839034553683902e-01
2.400000000000000000e+01 -1.415356532491925945e-01 -1.415356532491925945e-01 -1.415356532491925945e-01 -1.415356532491925945e-01
2.500000000000000000e+01 5.205232073535629445e-01 5.205232073535629445e-01 5.205232073535629445e-01 5.205232073535629445e-01
2.600000000000000000e+01 -1.902747938737084366e-01 -1.902747938737084366e-01 -1.902747938737084366e-01 -1.902747938737084366e-01
2.700000000000000000e+01 -1.968314193060054507e-01 -1.968314193060054507e-01 -1.968314193060054507e-01 -1.968314193060054507e-01
2.800000000000000000e+01 7.390106356238711205e-02 7.390106356238711205e-02 7.390106356238711205e-02 7.390106356238711205e-02
2.900000000000000000e+01 -8.868811306262187888e-02 -8.868811306262187888e-02 -8.868811306262187888e-02 -8.868811306262187888e-02
3.000000000000000000e+01 -1.556764905167781210e-01 -1.556764905167781210e-01 -1.556764905167781210e-01 -1.556764905167781210e-01
3.100000000000000000e+01 -2.158913196205886342e-01 -2.158913196205886342e-01 -2.158913196205886342e-01 -2.158913196205886342e-01
3.200000000000000000e+01 -1.163052494642544399e-01 -1.163052494642544399e-01 -1.163052494642544399e-01 -1.163052494642544399e-01
3.300000000000000000e+01 1.437668896267682919e-02 1.437668896267682919e-02 1.437668896267682919e-02 1.437668896267682919e-02
3.400000000000000000e+01 -8.046915422153852471e-02 -8.046915422153852471e-02 -8.046915422153852471e-02 -8.046915422153852471e-02
3.500000000000000000e+01 -1.326286326353269263e-01 -1.326286326353269263e-01 -1.326286326353269263e-01 -1.326286326353269263e-01
3.600000000000000000e+01 -1.191471864080751175e-01 -1.191471864080751175e-01 -1.191471864080751175e-01 -1.191471864080751175e-01
3.700000000000000000e+01 -2.359167039080677652e-01 -2.359167039080677652e-01 -2.359167039080677652e-01 -2.359167039080677652e-01
3.800000000000000000e+01 1.665923362346501957e-01 1.665923362346501957e-01 1.665923362346501957e-01 1.665923362346501957e-01
3.900000000000000000e+01 3.041476786351499789e-02 3.041476786351499789e-02 3.041476786351499789e-02 3.041476786351499789e-02
4.000000000000000000e+01 -3.788988447026903766e-02 -3.788988447026903766e-02 -3.788988447026903766e-02 -3.788988447026903766e-02
4.100000000000000000e+01 3.782271986829383592e-01 3.782271986829383592e-01 3.782271986829383592e-01 3.782271986829383592e-01
4.200000000000000000e+01 2.824601789317480738e-01 2.824601789317480738e-01 2.824601789317480738e-01 2.824601789317480738e-01
4.300000000000000000e+01 -1.522260750723579761e-02 -1.522260750723579761e-02 -1.522260750723579761e-02 -1.522260750723579761e-02
4.400000000000000000e+01 3.858219661067391337e-01 3.858219661067391337e-01 3.858219661067391337e-01 3.858219661067391337e-01
4.500000000000000000e+01 -2.903599663661050045e-01 -2.903599663661050045e-01 -2.903599663661050045e-01 -2.903599663661050045e-01
4.600000000000000000e+01 2.394331113562030711e-01 2.394331113562030711e-01 2.394331113562030711e-01 2.394331113562030711e-01
4.700000000000000000e+01 2.257070537595257109e-02 2.257070537595257109e-02 2.257070537595257109e-02 2.257070537595257109e-02
4.800000000000000000e+01 -9.763662168197527469e-02 -9.763662168197527469e-02 -9.763662168197527469e-02 -9.763662168197527469e-02
4.900000000000000000e+01 4.224930878190744782e-02 4.224930878190744782e-02 4.224930878190744782e-02 4.224930878190744782e-02
5.000000000000000000e+01 5.332297976576251541e-02 5.332297976576251541e-02 5.332297976576251541e-02 5.332297976576251541e-02
5.100000000000000000e+01 -2.184008269990976303e-01 -2.184008269990976303e-01 -2.184008269990976303e-01 -2.184008269990976303e-01
5.200000000000000000e+01 3.214311095312362421e-02 3.214311095312362421e-02 3.214311095312362421e-02 3.214311095312362421e-02
5.300000000000000000e+01 4.771299773658212173e-02 4.771299773658212173e-02 4.771299773658212173e-02 4.771299773658212173e-02
5.400000000000000000e+01 -1.751137072409208462e-01 -1.751137072409208462e-01 -1.751137072409208462e-01 -1.751137072409208462e-01
5.500000000000000000e+01 9.553065063831431281e-02 9.553065063831431281e-02 9.553065063831431281e-02 9.553065063831431281e-02
5.600000000000000000e+01 -2.120613793580526929e-01 -2.120613793580526929e-01 -2.120613793580526929e-01 -2.120613793580526929e-01
5.700000000000000000e+01 -6.975652782148092368e-02 -6.975652782148092368e-02 -6.975652782148092368e-02 -6.975652782148092368e-02
5.800000000000000000e+01 1.773348129990013622e-01 1.773348129990013622e-01 1.773348129990013622e-01 1.773348129990013622e-01
5.900000000000000000e+01 -2.016940525106052651e-01 -2.016940525106052651e-01 -2.016940525106052651e-01 -2.016940525106052651e-01
6.000000000000000000e+01 5.562050656722573594e-01 5.562050656722573594e-01 5.562050656722573594e-01 5.562050656722573594e-01
6.100000000000000000e+01 5.382884634761136294e-02 5.382884634761136294e-02 5.382884634761136294e-02 5.382884634761136294e-02
