Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 -2.148658898665183781e+00 -2.148658898665183781e+00 -2.148658898665183781e+00 -2.148658898665183781e+00
1.000000000000000000e+00 -5.567524608036097611e+00 -5.567524608036097611e+00 -5.567524608036097611e+00 -5.567524608036097611e+00
2.000000000000000000e+00 -4.985217128079025173e+00 -4.985217128079025173e+00 -4.985217128079025173e+00 -4.985217128079025173e+00
3.000000000000000000e+00 -3.706842925045514825e+00 -3.706842925045514825e+00 -3.706842925045514825e+00 -3.706842925045514825e+00
4.000000000000000000e+00 -7.306572862158974280e-01 -7.306572862158974280e-01 -7.306572862158974280e-01 -7.306572862158974280e-01
5.000000000000000000e+00 -3.205206602807132210e+00 -3.205206602807132210e+00 -3.205206602807132210e+00 -3.205206602807132210e+00
6.000000000000000000e+00 -2.245373511320132742e+00 -2.245373511320132742e+00 -2.245373511320132742e+00 -2.245373511320132742e+00
7.000000000000000000e+00 -7.847985756530884149e-02 -7.847985756530884149e-02 -7.847985756530884149e-02 -7.847985756530884149e-02
8.000000000000000000e+00 -1.830890394874046700e+00 -1.830890394874046700e+00 -1.830890394874046700e+00 -1.830890394874046700e+00
9.000000000000000000e+00 -1.362123001917062981e-01 -1.362123001917062981e-01 -1.362123001917062981e-01 -1.362123001917062981e-01
1.000000000000000000e+01 -4.199995695042811339e-01 -4.199995695042811339e-01 -4.199995695042811339e-01 -4.199995695042811339e-01
1.100000000000000000e+01 -7.929452005142040294e-01 -7.929452005142040294e-01 -7.929452005142040294e-01 -7.929452005142040294e-01
1.200000000000000000e+01 -2.687489101384284762e+00 -2.687489101384284762e+00 -2.687489101384284762e+00 -2.687489101384284762e+00
1.300000000000000000e+01 -5.305319545946255433e-01 -5.305319545946255433e-01 -5.305319545946255433e-01 -5.305319545946255433e-01
1.400000000000000000e+01 -4.570935511338904078e+00 -4.570935511338904078e+00 -4.570935511338904078e+00 -4.570935511338904078e+00
1.500000000000000000e+01 -1.471481963340145782e+01 -1.471481963340145782e+01 -1.471481963340145782e+01 -1.471481963340145782e+01
1.600000000000000000e+01 -1.001040527384671475e-01 -1.001040527384671475e-01 -1.001040527384671475e-01 -1.001040527384671475e-01
1.700000000000000000e+01 -3.086781038962613355e+00 -3.086781038962613355e+00 -3.086781038962613355e+00 -3.086781038962613355e+00
1.800000000000000000e+01 3.849163681671270432e-01 3.849163681671270432e-01 3.849163681671270432e-01 3.849163681671270432e-01
1.900000000000000000e+01 -6.258585018838001446e+00 -6.258585018838001446e+00 -6.258585018838001446e+00 -6.258585018838001446e+00
2.000000000000000000e+01 -1.761985769882293607e+00 -1.761985769882293607e+00 -1.761985769882293607e+00 -1.761985769882293607e+00
2.100000000000000000e+01 3.133072748379870515e-02 3.133072748379870515e-02 3.133072748379870515e-02 3.133072748379870515e-02
