Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 -2.579935758627345699e+00 -2.579935758627345699e+00 -2.579935758627345699e+00 -2.579935758627345699e+00
1.000000000000000000e+00 -8.608623261037242624e-01 -8.608623261037242624e-01 -8.608623261037242624e-01 -8.608623261037242624e-01
2.000000000000000000e+00 -1.437161971920134507e+00 -1.437161971920134507e+00 -1.437161971920134507e+00 -1.437161971920134507e+00
3.000000000000000000e+00 -2.645175362059820845e+00 -2.645175362059820845e+00 -2.645175362059820845e+00 -2.645175362059820845e+00
4.000000000000000000e+00 -1.817485721798010934e+00 -1.817485721798010934e+00 -1.817485721798010934e+00 -1.817485721798010934e+00
5.000000000000000000e+00 -1.578323461555735552e+00 -1.578323461555735552e+00 -1.578323461555735552e+00 -1.578323461555735552e+00
6.000000000000000000e+00 -7.795587345299721527e-01 -7.795587345299721527e-01 -7.795587345299721527e-01 -7.795587345299721527e-01
7.000000000000000000e+00 -9.981404338765959006e-01 -9.981404338765959006e-01 -9.981404338765959006e-01 -9.981404338765959006e-01
8.000000000000000000e+00 -6.608867543592609195e-01 -6.608867543592609195e-01 -6.608867543592609195e-01 -6.608867543592609195e-01
9.000000000000000000e+00 -8.034867829733787215e-01 -8.034867829733787215e-01 -8.034867829733787215e-01 -8.034867829733787215e-01
1.000000000000000000e+01 -8.885220204359388640e-01 -8.885220204359388640e-01 -8.885220204359388640e-01 -8.885220204359388640e-01
1.100000000000000000e+01 -1.533099944438554463e+00 -1.533099944438554463e+00 -1.533099944438554463e+00 -1.533099944438554463e+00
1.200000000000000000e+01 -1.719427613357284113e+00 -1.719427613357284113e+00 -1.719427613357284113e+00 -1.719427613357284113e+00
1.300000000000000000e+01 -7.144510692331081936e-01 -7.144510692331081936e-01 -7.144510692331081936e-01 -7.144510692331081936e-01
1.400000000000000000e+01 -5.940676668785411785e-01 -5.940676668785411785e-01 -5.940676668785411785e-01 -5.940676668785411785e-01
1.500000000000000000e+01 1.181551793325122113e-01 1.181551793325122113e-01 1.181551793325122113e-01 1.181551793325122113e-01
1.600000000000000000e+01 1.657592033426492084e-01 1.657592033426492084e-01 1.657592033426492084e-01 1.657592033426492084e-01
1.700000000000000000e+01 -6.140060973333486549e-01 -6.140060973333486549e-01 -6.140060973333486549e-01 -6.140060973333486549e-01
1.800000000000000000e+01 -1.332072581175625103e+00 -1.332072581175625103e+00 -1.332072581175625103e+00 -1.332072581175625103e+00
1.900000000000000000e+01 -1.417150906043418424e+00 -1.417150906043418424e+00 -1.417150906043418424e+00 -1.417150906043418424e+00
2.000000000000000000e+01 2.813602797575203707e-01 2.813602797575203707e-01 2.813602797575203707e-01 2.813602797575203707e-01
2.100000000000000000e+01 -1.268076294857366282e+00 -1.268076294857366282e+00 -1.268076294857366282e+00 -1.268076294857366282e+00
2.200000000000000000e+01 -9.466093443036539545e-01 -9.466093443036539545e-01 -9.466093443036539545e-01 -9.466093443036539545e-01
2.300000000000000000e+01 -1.290002603810520121e+00 -1.290002603810520121e+00 -1.290002603810520121e+00 -1.290002603810520121e+00
2.400000000000000000e+01 -1.297203157560286702e+00 -1.297203157560286702e+00 -1.297203157560286702e+00 -1.297203157560286702e+00
2.500000000000000000e+01 -5.427561224488325342e-01 -5.427561224488325342e-01 -5.427561224488325342e-01 -5.427561224488325342e-01
2.600000000000000000e+01 -2.138902780313443053e+00 -2.138902780313443053e+00 -2.138902780313443053e+00 -2.138902780313443053e+00
2.700000000000000000e+01 -4.246031272809298596e-01 -4.246031272809298596e-01 -4.246031272809298596e-01 -4.246031272809298596e-01
2.800000000000000000e+01 -7.394705837070900678e-01 -7.394705837070900678e-01 -7.394705837070900678e-01 -7.394705837070900678e-01
2.900000000000000000e+01 -3.011899100900828907e-01 -3.011899100900828907e-01 -3.011899100900828907e-01 -3.011899100900828907e-01
