Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 -6.133862761316388301e+00 -6.133862761316388301e+00 -6.133862761316388301e+00 -6.133862761316388301e+00
1.000000000000000000e+00 -5.095673851720261993e+00 -5.095673851720261993e+00 -5.095673851720261993e+00 -5.095673851720261993e+00
2.000000000000000000e+00 -6.518919778286169198e+00 -6.518919778286169198e+00 -6.518919778286169198e+00 -6.518919778286169198e+00
3.000000000000000000e+00 -6.065016755026615414e+00 -6.065016755026615414e+00 -6.065016755026615414e+00 -6.065016755026615414e+00
4.000000000000000000e+00 -5.068373269518820834e+00 -5.068373269518820834e+00 -5.068373269518820834e+00 -5.068373269518820834e+00
5.000000000000000000e+00 -4.981381877752830256e+00 -4.981381877752830256e+00 -4.981381877752830256e+00 -4.981381877752830256e+00
6.000000000000000000e+00 -1.189770419292369708e+00 -1.189770419292369708e+00 -1.189770419292369708e+00 -1.189770419292369708e+00
7.000000000000000000e+00 -1.607113153582105713e+00 -1.607113153582105713e+00 -1.607113153582105713e+00 -1.607113153582105713e+00
8.000000000000000000e+00 -3.489912684909465046e+00 -3.489912684909465046e+00 -3.489912684909465046e+00 -3.489912684909465046e+00
9.000000000000000000e+00 -2.941827731382335553e+00 -2.941827731382335553e+00 -2.941827731382335553e+00 -2.941827731382335553e+00
1.000000000000000000e+01 -2.100432103181275156e+00 -2.100432103181275156e+00 -2.100432103181275156e+00 -2.100432103181275156e+00
1.100000000000000000e+01 -3.644369085865232782e-01 -3.644369085865232782e-01 -3.644369085865232782e-01 -3.644369085865232782e-01
1.200000000000000000e+01 -2.056984639377751112e+00 -2.056984639377751112e+00 -2.056984639377751112e+00 -2.056984639377751112e+00
1.300000000000000000e+01 -4.161377346627754825e+00 -4.161377346627754825e+00 -4.161377346627754825e+00 -4.161377346627754825e+00
1.400000000000000000e+01 -5.075244922990118646e+00 -5.075244922990118646e+00 -5.075244922990118646e+00 -5.075244922990118646e+00
1.500000000000000000e+01 -3.411824358533835255e+00 -3.411824358533835255e+00 -3.411824358533835255e+00 -3.411824358533835255e+00
1.600000000000000000e+01 -4.243534640761977e+00 -4.243534640761977e+00 -4.243534640761977e+00 -4.243534640761977e+00
1.700000000000000000e+01 -2.038283716070366580e+01 -2.038283716070366580e+01 -2.038283716070366580e+01 -2.038283716070366580e+01
1.800000000000000000e+01 1.226616534054977503e+00 1.226616534054977503e+00 1.226616534054977503e+00 1.226616534054977503e+00
1.900000000000000000e+01 -7.015067252187550118e+00 -7.015067252187550118e+00 -7.015067252187550118e+00 -7.015067252187550118e+00
2.000000000000000000e+01 -1.856864652880559907e+00 -1.856864652880559907e+00 -1.856864652880559907e+00 -1.856864652880559907e+00
2.100000000000000000e+01 -1.965379148147098798e+00 -1.965379148147098798e+00 -1.965379148147098798e+00 -1.965379148147098798e+00
2.200000000000000000e+01 -2.617613726669615559e+00 -2.617613726669615559e+00 -2.617613726669615559e+00 -2.617613726669615559e+00
2.300000000000000000e+01 -1.479145226429209314e+00 -1.479145226429209314e+00 -1.479145226429209314e+00 -1.479145226429209314e+00
2.400000000000000000e+01 -1.988609540051984315e+00 -1.988609540051984315e+00 -1.988609540051984315e+00 -1.988609540051984315e+00
2.500000000000000000e+01 -1.690542671020873078e+00 -1.690542671020873078e+00 -1.690542671020873078e+00 -1.690542671020873078e+00
2.600000000000000000e+01 -1.480900159609694677e+00 -1.480900159609694677e+00 -1.480900159609694677e+00 -1.480900159609694677e+00
2.700000000000000000e+01 -1.528449612615222053e+00 -1.528449612615222053e+00 -1.528449612615222053e+00 -1.528449612615222053e+00
2.800000000000000000e+01 -1.193586653445334544e+00 -1.193586653445334544e+00 -1.193586653445334544e+00 -1.193586653445334544e+00
2.900000000000000000e+01 -1.661093736762966566e+00 -1.661093736762966566e+00 -1.661093736762966566e+00 -1.661093736762966566e+00
3.000000000000000000e+01 -1.965576734075885623e+00 -1.965576734075885623e+00 -1.965576734075885623e+00 -1.965576734075885623e+00
3.100000000000000000e+01 -1.948793737803533599e+00 -1.948793737803533599e+00 -1.948793737803533599e+00 -1.948793737803533599e+00
3.200000000000000000e+01 -1.625957184738594519e+00 -1.625957184738594519e+00 -1.625957184738594519e+00 -1.625957184738594519e+00
