Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 1.043237254873856934e-01 1.043237254873856934e-01 1.043237254873856934e-01 1.043237254873856934e-01
1.000000000000000000e+00 2.379701602742779684e-02 2.379701602742779684e-02 2.379701602742779684e-02 2.379701602742779684e-02
2.000000000000000000e+00 1.578148996504376983e-02 1.578148996504376983e-02 1.578148996504376983e-02 1.578148996504376983e-02
3.000000000000000000e+00 3.029604925436377855e-02 3.029604925436377855e-02 3.029604925436377855e-02 3.029604925436377855e-02
4.000000000000000000e+00 4.076376026335376546e-02 4.076376026335376546e-02 4.076376026335376546e-02 4.076376026335376546e-02
5.000000000000000000e+00 4.304356958726025112e-02 4.304356958726025112e-02 4.304356958726025112e-02 4.304356958726025112e-02
6.000000000000000000e+00 3.963017902247426699e-02 3.963017902247426699e-02 3.963017902247426699e-02 3.963017902247426699e-02
7.000000000000000000e+00 1.102941707823411610e-01 1.102941707823411610e-01 1.102941707823411610e-01 1.102941707823411610e-01
8.000000000000000000e+00 7.339699233384995580e-02 7.339699233384995580e-02 7.339699233384995580e-02 7.339699233384995580e-02
9.000000000000000000e+00 -2.209317849232988670e-02 -2.209317849232988670e-02 -2.209317849232988670e-02 -2.209317849232988670e-02
1.000000000000000000e+01 1.624384109244038712e-02 1.624384109244038712e-02 1.624384109244038712e-02 1.624384109244038712e-02
1.100000000000000000e+01 1.058048241082120283e-01 1.058048241082120283e-01 1.058048241082120283e-01 1.058048241082120283e-01
1.200000000000000000e+01 3.068787948039286562e-02 3.068787948039286562e-02 3.068787948039286562e-02 3.068787948039286562e-02
1.300000000000000000e+01 2.354073997541527088e-02 2.354073997541527088e-02 2.354073997541527088e-02 2.354073997541527088e-02
1.400000000000000000e+01 9.775026513444655396e-02 9.775026513444655396e-02 9.775026513444655396e-02 9.775026513444655396e-02
1.500000000000000000e+01 7.016985829209468339e-02 7.016985829209468339e-02 7.016985829209468339e-02 7.016985829209468339e-02
1.600000000000000000e+01 9.425082981049880126e-02 9.425082981049880126e-02 9.425082981049880126e-02 9.425082981049880126e-02
1.700000000000000000e+01 -4.972143686427970416e-02 -4.972143686427970416e-02 -4.972143686427970416e-02 -4.972143686427970416e-02
1.800000000000000000e+01 1.095587719351987510e-01 1.095587719351987510e-01 1.095587719351987510e-01 1.095587719351987510e-01
1.900000000000000000e+01 3.197392705956103587e-02 3.197392705956103587e-02 3.197392705956103587e-02 3.197392705956103587e-02
2.000000000000000000e+01 -7.639884335201908329e-03 -7.639884335201908329e-03 -7.639884335201908329e-03 -7.639884335201908329e-03
2.100000000000000000e+01 7.533607682773915681e-02 7.533607682773915681e-02 7.533607682773915681e-02 7.533607682773915681e-02
2.200000000000000000e+01 1.507882973553058108e-02 1.507882973553058108e-02 1.507882973553058108e-02 1.507882973553058108e-02
2.300000000000000000e+01 1.099692591469564329e-01 1.099692591469564329e-01 1.099692591469564329e-01 1.099692591469564329e-01
2.400000000000000000e+01 -3.343432839941740120e-02 -3.343432839941740120e-02 -3.343432839941740120e-02 -3.343432839941740120e-02
2.500000000000000000e+01 3.897095114046186110e-02 3.897095114046186110e-02 3.897095114046186110e-02 3.897095114046186110e-02
2.600000000000000000e+01 9.540985777870823747e-02 9.540985777870823747e-02 9.540985777870823747e-02 9.540985777870823747e-02
2.700000000000000000e+01 -1.696118386746953699e-01 -1.696118386746953699e-01 -1.696118386746953699e-01 -1.696118386746953699e-01
2.800000000000000000e+01 1.252845930053856638e-01 1.252845930053856638e-01 1.252845930053856638e-01 1.252845930053856638e-01
2.900000000000000000e+01 9.349722349673116051e-02 9.349722349673116051e-02 9.349722349673116051e-02 9.349722349673116051e-02
3.000000000000000000e+01 6.061062530697995838e-03 6.061062530697995838e-03 6.061062530697995838e-03 6.061062530697995838e-03
3.100000000000000000e+01 8.225712642507183869e-02 8.225712642507183869e-02 8.225712642507183869e-02 8.225712642507183869e-02
3.200000000000000000e+01 -1.819947269571488974e-02 -1.819947269571488974e-02 -1.819947269571488974e-02 -1.819947269571488974e-02
3.300000000000000000e+01 2.215605595418684501e-02 2.215605595418684501e-02 2.215605595418684501e-02 2.215605595418684501e-02
3.400000000000000000e+01 3.892758972084891383e-02 3.892758972084891383e-02 3.892758972084891383e-02 3.892758972084891383e-02
3.500000000000000000e+01 1.033382657733723647e-01 1.033382657733723647e-01 1.033382657733723647e-01 1.033382657733723647e-01
3.600000000000000000e+01 -2.748032464470479552e-01 -2.748032464470479552e-01 -2.748032464470479552e-01 -2.748032464470479552e-01
3.700000000000000000e+01 1.221474144197361306e-01 1.221474144197361306e-01 1.221474144197361306e-01 1.221474144197361306e-01
3.800000000000000000e+01 -7.773243825830344900e-02 -7.773243825830344900e-02 -7.773243825830344900e-02 -7.773243825830344900e-02
3.900000000000000000e+01 2.397600818359439112e-01 2.397600818359439112e-01 2.397600818359439112e-01 2.397600818359439112e-01
4.000000000000000000e+01 5.186156607563264381e-02 5.186156607563264381e-02 5.186156607563264381e-02 5.186156607563264381e-02
4.100000000000000000e+01 -4.426995241936546727e-02 -4.426995241936546727e-02 -4.426995241936546727e-02 -4.426995241936546727e-02
4.200000000000000000e+01 4.235313363137057641e-01 4.235313363137057641e-01 4.235313363137057641e-01 4.235313363137057641e-01
4.300000000000000000e+01 -7.077566464681973868e-02 -7.077566464681973868e-02 -7.077566464681973868e-02 -7.077566464681973868e-02
4.400000000000000000e+01 2.043012295510664156e-01 2.043012295510664156e-01 2.043012295510664156e-01 2.043012295510664156e-01
4.500000000000000000e+01 1.392250200121188108e-01 1.392250200121188108e-01 1.392250200121188108e-01 1.392250200121188108e-01
4.600000000000000000e+01 7.188950724671483439e-02 7.188950724671483439e-02 7.188950724671483439e-02 7.188950724671483439e-02
4.700000000000000000e+01 1.690746107048552160e-01 1.690746107048552160e-01 1.690746107048552160e-01 1.690746107048552160e-01
4.800000000000000000e+01 -2.097777077436987700e-02 -2.097777077436987700e-02 -2.097777077436987700e-02 -2.097777077436987700e-02
4.900000000000000000e+01 7.993356538584181492e-02 7.993356538584181492e-02 7.993356538584181492e-02 7.993356538584181492e-02
5.000000000000000000e+01 5.699883131265860714e-02 5.699883131265860714e-02 5.699883131265860714e-02 5.699883131265860714e-02
5.100000000000000000e+01 9.234016438149210415e-02 9.234016438149210415e-02 9.234016438149210415e-02 9.234016438149210415e-02
5.200000000000000000e+01 -1.011217952703551918e-03 -1.011217952703551918e-03 -1.011217952703551918e-03 -1.011217952703551918e-03
5.300000000000000000e+01 1.775856013413865397e-01 1.775856013413865397e-01 1.775856013413865397e-01 1.775856013413865397e-01
5.400000000000000000e+01 2.619633145444199337e-03 2.619633145444199337e-03 2.619633145444199337e-03 2.619633145444199337e-03
5.500000000000000000e+01 9.257942073040374698e-02 9.257942073040374698e-02 9.257942073040374698e-02 9.257942073040374698e-02
5.600000000000000000e+01 1.307204956173576293e-01 1.307204956173576293e-01 1.307204956173576293e-01 1.307204956173576293e-01
5.700000000000000000e+01 -5.147293570656115945e-03 -5.147293570656115945e-03 -5.147293570656115945e-03 -5.147293570656115945e-03
5.800000000000000000e+01 1.399262219242406770e-02 1.399262219242406770e-02 1.399262219242406770e-02 1.399262219242406770e-02
5.900000000000000000e+01 3.045996174276598412e-01 3.045996174276598412e-01 3.045996174276598412e-01 3.045996174276598412e-01
6.000000000000000000e+01 -2.997762657881283127e-02 -2.997762657881283127e-02 -2.997762657881283127e-02 -2.997762657881283127e-02
6.100000000000000000e+01 1.448712020763514297e-01 1.448712020763514297e-01 1.448712020763514297e-01 1.448712020763514297e-01
6.200000000000000000e+01 6.491970658385552706e-02 6.491970658385552706e-02 6.491970658385552706e-02 6.491970658385552706e-02
6.300000000000000000e+01 -5.585262588518457444e-02 -5.585262588518457444e-02 -5.585262588518457444e-02 -5.585262588518457444e-02
6.400000000000000000e+01 6.269965484728992622e-02 6.269965484728992622e-02 6.269965484728992622e-02 6.269965484728992622e-02
6.500000000000000000e+01 9.917275502497084616e-02 9.917275502497084616e-02 9.917275502497084616e-02 9.917275502497084616e-02
6.600000000000000000e+01 1.015023124128763554e-01 1.015023124128763554e-01 1.015023124128763554e-01 1.015023124128763554e-01
6.700000000000000000e+01 -1.300128320620137223e-01 -1.300128320620137223e-01 -1.300128320620137223e-01 -1.300128320620137223e-01
6.800000000000000000e+01 2.933819481271464635e-01 2.933819481271464635e-01 2.933819481271464635e-01 2.933819481271464635e-01
6.900000000000000000e+01 -9.894424424312359134e-02 -9.894424424312359134e-02 -9.894424424312359134e-02 -9.894424424312359134e-02
7.000000000000000000e+01 2.212601615133640287e-01 2.212601615133640287e-01 2.212601615133640287e-01 2.212601615133640287e-01
7.100000000000000000e+01 7.589113045867497929e-03 7.589113045867497929e-03 7.589113045867497929e-03 7.589113045867497929e-03
7.200000000000000000e+01 2.449104384832872031e-02 2.449104384832872031e-02 2.449104384832872031e-02 2.449104384832872031e-02
7.300000000000000000e+01 1.234373777170261477e-01 1.234373777170261477e-01 1.234373777170261477e-01 1.234373777170261477e-01
7.400000000000000000e+01 4.695352762349182252e-02 4.695352762349182252e-02 4.695352762349182252e-02 4.695352762349182252e-02
7.500000000000000000e+01 -6.546047336241439529e-02 -6.546047336241439529e-02 -6.546047336241439529e-02 -6.546047336241439529e-02
7.600000000000000000e+01 1.307389779994034551e-01 1.307389779994034551e-01 1.307389779994034551e-01 1.307389779994034551e-01
7.700000000000000000e+01 1.488254957967361791e-01 1.488254957967361791e-01 1.488254957967361791e-01 1.488254957967361791e-01
7.800000000000000000e+01 -1.794173224804280486e-01 -1.794173224804280486e-01 -1.794173224804280486e-01 -1.794173224804280486e-01
7.900000000000000000e+01 3.345593291780131762e-01 3.345593291780131762e-01 3.345593291780131762e-01 3.345593291780131762e-01
8.000000000000000000e+01 -2.689789960244796940e-02 -2.689789960244796940e-02 -2.689789960244796940e-02 -2.689789960244796940e-02
8.100000000000000000e+01 3.808242824152336947e-01 3.808242824152336947e-01 3.808242824152336947e-01 3.808242824152336947e-01
8.200000000000000000e+01 2.281661076348686645e-01 2.281661076348686645e-01 2.281661076348686645e-01 2.281661076348686645e-01
8.300000000000000000e+01 1.221824673402179540e-01 1.221824673402179540e-01 1.221824673402179540e-01 1.221824673402179540e-01
8.400000000000000000e+01 9.764218395408294504e-02 9.764218395408294504e-02 9.764218395408294504e-02 9.764218395408294504e-02
8.500000000000000000e+01 2.660798656885270397e-01 2.660798656885270397e-01 2.660798656885270397e-01 2.660798656885270397e-01
8.600000000000000000e+01 3.995580441694224043e-03 3.995580441694224043e-03 3.995580441694224043e-03 3.995580441694224043e-03
8.700000000000000000e+01 2.377819919456980735e-01 2.377819919456980735e-01 2.377819919456980735e-01 2.377819919456980735e-01
8.800000000000000000e+01 2.101289591352693831e-01 2.101289591352693831e-01 2.101289591352693831e-01 2.101289591352693831e-01
8.900000000000000000e+01 -1.420303958247594034e-01 -1.420303958247594034e-01 -1.420303958247594034e-01 -1.420303958247594034e-01
9.000000000000000000e+01 2.348850977588802236e-01 2.348850977588802236e-01 2.348850977588802236e-01 2.348850977588802236e-01
9.100000000000000000e+01 -2.383454694349029235e-01 -2.383454694349029235e-01 -2.383454694349029235e-01 -2.383454694349029235e-01
9.200000000000000000e+01 7.973725441258874835e-02 7.973725441258874835e-02 7.973725441258874835e-02 7.973725441258874835e-02
9.300000000000000000e+01 -1.566152914512991823e-01 -1.566152914512991823e-01 -1.566152914512991823e-01 -1.566152914512991823e-01
