Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 -3.864910499941216077e-02 -3.864910499941216077e-02 -3.864910499941216077e-02 -3.864910499941216077e-02
1.000000000000000000e+00 -1.086897406672674982e-01 -1.086897406672674982e-01 -1.086897406672674982e-01 -1.086897406672674982e-01
2.000000000000000000e+00 -8.500402246681758311e-02 -8.500402246681758311e-02 -8.500402246681758311e-02 -8.500402246681758311e-02
3.000000000000000000e+00 -2.705189091861945339e-02 -2.705189091861945339e-02 -2.705189091861945339e-02 -2.705189091861945339e-02
4.000000000000000000e+00 -8.457875418321442185e-02 -8.457875418321442185e-02 -8.457875418321442185e-02 -8.457875418321442185e-02
5.000000000000000000e+00 -8.656772844484551810e-02 -8.656772844484551810e-02 -8.656772844484551810e-02 -8.656772844484551810e-02
6.000000000000000000e+00 -9.004625767653752499e-02 -9.004625767653752499e-02 -9.004625767653752499e-02 -9.004625767653752499e-02
7.000000000000000000e+00 3.293759187269049843e-02 3.293759187269049843e-02 3.293759187269049843e-02 3.293759187269049843e-02
8.000000000000000000e+00 -2.002384737256287517e-01 -2.002384737256287517e-01 -2.002384737256287517e-01 -2.002384737256287517e-01
9.000000000000000000e+00 1.744588963925877007e-02 1.744588963925877007e-02 1.744588963925877007e-02 1.744588963925877007e-02
1.000000000000000000e+01 -5.413460385729591123e-02 -5.413460385729591123e-02 -5.413460385729591123e-02 -5.413460385729591123e-02
1.100000000000000000e+01 -8.231615806033826255e-02 -8.231615806033826255e-02 -8.231615806033826255e-02 -8.231615806033826255e-02
1.200000000000000000e+01 6.801679065851291839e-02 6.801679065851291839e-02 6.801679065851291839e-02 6.801679065851291839e-02
1.300000000000000000e+01 2.175019007840963206e-02 2.175019007840963206e-02 2.175019007840963206e-02 2.175019007840963206e-02
1.400000000000000000e+01 1.721349620950080039e-02 1.721349620950080039e-02 1.721349620950080039e-02 1.721349620950080039e-02
1.500000000000000000e+01 -8.731807824417335898e-03 -8.731807824417335898e-03 -8.731807824417335898e-03 -8.731807824417335898e-03
1.600000000000000000e+01 -4.453329668300778227e-02 -4.453329668300778227e-02 -4.453329668300778227e-02 -4.453329668300778227e-02
1.700000000000000000e+01 8.096082587361569383e-02 8.096082587361569383e-02 8.096082587361569383e-02 8.096082587361569383e-02
1.800000000000000000e+01 -5.715077051748419096e-02 -5.715077051748419096e-02 -5.715077051748419096e-02 -5.715077051748419096e-02
1.900000000000000000e+01 -1.438205826381404040e-01 -1.438205826381404040e-01 -1.438205826381404040e-01 -1.438205826381404040e-01
2.000000000000000000e+01 -2.738954566044834310e-02 -2.738954566044834310e-02 -2.738954566044834310e-02 -2.738954566044834310e-02
2.100000000000000000e+01 -7.863475241213328804e-03 -7.863475241213328804e-03 -7.863475241213328804e-03 -7.863475241213328804e-03
2.200000000000000000e+01 -2.043777186693886833e-02 -2.043777186693886833e-02 -2.043777186693886833e-02 -2.043777186693886833e-02
2.300000000000000000e+01 -1.625907558501828443e-01 -1.625907558501828443e-01 -1.625907558501828443e-01 -1.625907558501828443e-01
2.400000000000000000e+01 -8.612461672788443434e-02 -8.612461672788443434e-02 -8.612461672788443434e-02 -8.612461672788443434e-02
2.500000000000000000e+01 -9.958036121207386460e-02 -9.958036121207386460e-02 -9.958036121207386460e-02 -9.958036121207386460e-02
2.600000000000000000e+01 1.723547472025684785e-02 1.723547472025684785e-02 1.723547472025684785e-02 1.723547472025684785e-02
2.700000000000000000e+01 -1.765799780024182308e-01 -1.765799780024182308e-01 -1.765799780024182308e-01 -1.765799780024182308e-01
2.800000000000000000e+01 3.344668670102273877e-03 3.344668670102273877e-03 3.344668670102273877e-03 3.344668670102273877e-03
2.900000000000000000e+01 -7.885805869019993364e-02 -7.885805869019993364e-02 -7.885805869019993364e-02 -7.885805869019993364e-02
3.000000000000000000e+01 -8.371651356620722628e-02 -8.371651356620722628e-02 -8.371651356620722628e-02 -8.371651356620722628e-02
3.100000000000000000e+01 -6.577494372828449065e-02 -6.577494372828449065e-02 -6.577494372828449065e-02 -6.577494372828449065e-02
3.200000000000000000e+01 1.608901787797512306e-01 1.608901787797512306e-01 1.608901787797512306e-01 1.608901787797512306e-01
3.300000000000000000e+01 1.791489035785842274e-02 1.791489035785842274e-02 1.791489035785842274e-02 1.791489035785842274e-02
3.400000000000000000e+01 -3.460557880817684284e-02 -3.460557880817684284e-02 -3.460557880817684284e-02 -3.460557880817684284e-02
3.500000000000000000e+01 1.429170929367928333e-01 1.429170929367928333e-01 1.429170929367928333e-01 1.429170929367928333e-01
3.600000000000000000e+01 1.292549966833344277e-01 1.292549966833344277e-01 1.292549966833344277e-01 1.292549966833344277e-01
3.700000000000000000e+01 1.116206770269052850e-01 1.116206770269052850e-01 1.116206770269052850e-01 1.116206770269052850e-01
3.800000000000000000e+01 3.547064286634957209e-01 3.547064286634957209e-01 3.547064286634957209e-01 3.547064286634957209e-01
3.900000000000000000e+01 -1.598630755786211236e-02 -1.598630755786211236e-02 -1.598630755786211236e-02 -1.598630755786211236e-02
4.000000000000000000e+01 1.817125609602143477e-01 1.817125609602143477e-01 1.817125609602143477e-01 1.817125609602143477e-01
4.100000000000000000e+01 5.592690265252492354e-02 5.592690265252492354e-02 5.592690265252492354e-02 5.592690265252492354e-02
4.200000000000000000e+01 2.147673858305160222e-02 2.147673858305160222e-02 2.147673858305160222e-02 2.147673858305160222e-02
4.300000000000000000e+01 -4.491756081156675351e-02 -4.491756081156675351e-02 -4.491756081156675351e-02 -4.491756081156675351e-02
4.400000000000000000e+01 -1.673153965792486403e-02 -1.673153965792486403e-02 -1.673153965792486403e-02 -1.673153965792486403e-02
4.500000000000000000e+01 -7.173371784570956033e-02 -7.173371784570956033e-02 -7.173371784570956033e-02 -7.173371784570956033e-02
4.600000000000000000e+01 4.116420174055641229e-02 4.116420174055641229e-02 4.116420174055641229e-02 4.116420174055641229e-02
4.700000000000000000e+01 -3.243269576413427835e-01 -3.243269576413427835e-01 -3.243269576413427835e-01 -3.243269576413427835e-01
4.800000000000000000e+01 5.403784251331707200e-02 5.403784251331707200e-02 5.403784251331707200e-02 5.403784251331707200e-02
4.900000000000000000e+01 -1.449307310001318044e-02 -1.449307310001318044e-02 -1.449307310001318044e-02 -1.449307310001318044e-02
5.000000000000000000e+01 -3.798797142690248964e-03 -3.798797142690248964e-03 -3.798797142690248964e-03 -3.798797142690248964e-03
5.100000000000000000e+01 -1.487794632796292371e-02 -1.487794632796292371e-02 -1.487794632796292371e-02 -1.487794632796292371e-02
5.200000000000000000e+01 -2.266014486309162954e-02 -2.266014486309162954e-02 -2.266014486309162954e-02 -2.266014486309162954e-02
5.300000000000000000e+01 3.619361977460289898e-02 3.619361977460289898e-02 3.619361977460289898e-02 3.619361977460289898e-02
5.400000000000000000e+01 1.790183169868173885e-01 1.790183169868173885e-01 1.790183169868173885e-01 1.790183169868173885e-01
5.500000000000000000e+01 9.304748579120544760e-02 9.304748579120544760e-02 9.304748579120544760e-02 9.304748579120544760e-02
