Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 -2.503517672121371648e-02 -2.503517672121371648e-02 -2.503517672121371648e-02 -2.503517672121371648e-02
1.000000000000000000e+00 -1.972772187602724048e-01 -1.972772187602724048e-01 -1.972772187602724048e-01 -1.972772187602724048e-01
2.000000000000000000e+00 -3.232094855384672338e-01 -3.232094855384672338e-01 -3.232094855384672338e-01 -3.232094855384672338e-01
3.000000000000000000e+00 -4.047070033559201259e-03 -4.047070033559201259e-03 -4.047070033559201259e-03 -4.047070033559201259e-03
4.000000000000000000e+00 7.545028002926676761e-03 7.545028002926676761e-03 7.545028002926676761e-03 7.545028002926676761e-03
5.000000000000000000e+00 -1.359105923505347369e-01 -1.359105923505347369e-01 -1.359105923505347369e-01 -1.359105923505347369e-01
6.000000000000000000e+00 -1.018299622376131752e-01 -1.018299622376131752e-01 -1.018299622376131752e-01 -1.018299622376131752e-01
7.000000000000000000e+00 -2.605749455542025750e-01 -2.605749455542025750e-01 -2.605749455542025750e-01 -2.605749455542025750e-01
8.000000000000000000e+00 -3.180527438203005763e-01 -3.180527438203005763e-01 -3.180527438203005763e-01 -3.180527438203005763e-01
9.000000000000000000e+00 -2.832417582574789372e-01 -2.832417582574789372e-01 -2.832417582574789372e-01 -2.832417582574789372e-01
1.000000000000000000e+01 -1.717844592739293241e-01 -1.717844592739293241e-01 -1.717844592739293241e-01 -1.717844592739293241e-01
1.100000000000000000e+01 -2.139853824861409903e-01 -2.139853824861409903e-01 -2.139853824861409903e-01 -2.139853824861409903e-01
1.200000000000000000e+01 -1.130337337607306841e-01 -1.130337337607306841e-01 -1.130337337607306841e-01 -1.130337337607306841e-01
1.300000000000000000e+01 -3.595363067833958204e-01 -3.595363067833958204e-01 -3.595363067833958204e-01 -3.595363067833958204e-01
1.400000000000000000e+01 -7.904107016679207121e-02 -7.904107016679207121e-02 -7.904107016679207121e-02 -7.904107016679207121e-02
1.500000000000000000e+01 -2.050605091536392699e-01 -2.050605091536392699e-01 -2.050605091536392699e-01 -2.050605091536392699e-01
1.600000000000000000e+01 -2.964483467826942720e-01 -2.964483467826942720e-01 -2.964483467826942720e-01 -2.964483467826942720e-01
1.700000000000000000e+01 -1.731728196753021254e-01 -1.731728196753021254e-01 -1.731728196753021254e-01 -1.731728196753021254e-01
1.800000000000000000e+01 -3.098041715310587696e-01 -3.098041715310587696e-01 -3.098041715310587696e-01 -3.098041715310587696e-01
1.900000000000000000e+01 -1.809250438976532371e-01 -1.809250438976532371e-01 -1.809250438976532371e-01 -1.809250438976532371e-01
2.000000000000000000e+01 -2.665132034343216105e-01 -2.665132034343216105e-01 -2.665132034343216105e-01 -2.665132034343216105e-01
2.100000000000000000e+01 -1.979905548576282870e-01 -1.979905548576282870e-01 -1.979905548576282870e-01 -1.979905548576282870e-01
2.200000000000000000e+01 -6.266206333051389799e-02 -6.266206333051389799e-02 -6.266206333051389799e-02 -6.266206333051389799e-02
2.300000000000000000e+01 -1.135165677538380220e-02 -1.135165677538380220e-02 -1.135165677538380220e-02 -1.135165677538380220e-02
2.400000000000000000e+01 -1.894495006060915865e-01 -1.894495006060915865e-01 -1.894495006060915865e-01 -1.894495006060915865e-01
2.500000000000000000e+01 -2.622182080558223549e-01 -2.622182080558223549e-01 -2.622182080558223549e-01 -2.622182080558223549e-01
2.600000000000000000e+01 -1.576153086762145938e-01 -1.576153086762145938e-01 -1.576153086762145938e-01 -1.576153086762145938e-01
2.700000000000000000e+01 -2.175872222120196486e-01 -2.175872222120196486e-01 -2.175872222120196486e-01 -2.175872222120196486e-01
2.800000000000000000e+01 -2.603373326638301344e-01 -2.603373326638301344e-01 -2.603373326638301344e-01 -2.603373326638301344e-01
2.900000000000000000e+01 -6.516248175218279648e-02 -6.516248175218279648e-02 -6.516248175218279648e-02 -6.516248175218279648e-02
3.000000000000000000e+01 -3.057932414839280022e-01 -3.057932414839280022e-01 -3.057932414839280022e-01 -3.057932414839280022e-01
3.100000000000000000e+01 -4.954446184450224389e-02 -4.954446184450224389e-02 -4.954446184450224389e-02 -4.954446184450224389e-02
3.200000000000000000e+01 -1.908599426628316553e-01 -1.908599426628316553e-01 -1.908599426628316553e-01 -1.908599426628316553e-01
3.300000000000000000e+01 -4.167254099748655127e-01 -4.167254099748655127e-01 -4.167254099748655127e-01 -4.167254099748655127e-01
3.400000000000000000e+01 -1.700848437640417599e-01 -1.700848437640417599e-01 -1.700848437640417599e-01 -1.700848437640417599e-01
3.500000000000000000e+01 -2.105897009445942547e-01 -2.105897009445942547e-01 -2.105897009445942547e-01 -2.105897009445942547e-01
3.600000000000000000e+01 -2.831830821212469318e-01 -2.831830821212469318e-01 -2.831830821212469318e-01 -2.831830821212469318e-01
3.700000000000000000e+01 -2.350359204463403073e-01 -2.350359204463403073e-01 -2.350359204463403073e-01 -2.350359204463403073e-01
3.800000000000000000e+01 -5.525647131168051063e-01 -5.525647131168051063e-01 -5.525647131168051063e-01 -5.525647131168051063e-01
