Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 -5.564463901957545922e-01 -5.564463901957545922e-01 -5.564463901957545922e-01 -5.564463901957545922e-01
1.000000000000000000e+00 -2.739794337500139898e-01 -2.739794337500139898e-01 -2.739794337500139898e-01 -2.739794337500139898e-01
2.000000000000000000e+00 -2.491506790177519526e-01 -2.491506790177519526e-01 -2.491506790177519526e-01 -2.491506790177519526e-01
3.000000000000000000e+00 -2.897089559875353770e-01 -2.897089559875353770e-01 -2.897089559875353770e-01 -2.897089559875353770e-01
4.000000000000000000e+00 -2.056723008734454572e-01 -2.056723008734454572e-01 -2.056723008734454572e-01 -2.056723008734454572e-01
5.000000000000000000e+00 -2.029824483788514322e-01 -2.029824483788514322e-01 -2.029824483788514322e-01 -2.029824483788514322e-01
6.000000000000000000e+00 -1.741323516952331119e-01 -1.741323516952331119e-01 -1.741323516952331119e-01 -1.741323516952331119e-01
7.000000000000000000e+00 -1.063286881696889896e-01 -1.063286881696889896e-01 -1.063286881696889896e-01 -1.063286881696889896e-01
8.000000000000000000e+00 -1.427393053641305976e-01 -1.427393053641305976e-01 -1.427393053641305976e-01 -1.427393053641305976e-01
9.000000000000000000e+00 -7.920313574980331062e-02 -7.920313574980331062e-02 -7.920313574980331062e-02 -7.920313574980331062e-02
1.000000000000000000e+01 1.763450258197885867e-01 1.763450258197885867e-01 1.763450258197885867e-01 1.763450258197885867e-01
1.100000000000000000e+01 -1.912473377795872453e-01 -1.912473377795872453e-01 -1.912473377795872453e-01 -1.912473377795872453e-01
1.200000000000000000e+01 1.445979487468051772e-01 1.445979487468051772e-01 1.445979487468051772e-01 1.445979487468051772e-01
1.300000000000000000e+01 1.480737097678036240e-01 1.480737097678036240e-01 1.480737097678036240e-01 1.480737097678036240e-01
1.400000000000000000e+01 3.362961941304569435e-02 3.362961941304569435e-02 3.362961941304569435e-02 3.362961941304569435e-02
1.500000000000000000e+01 1.155793048943323936e-01 1.155793048943323936e-01 1.155793048943323936e-01 1.155793048943323936e-01
1.600000000000000000e+01 1.344209400927653675e-01 1.344209400927653675e-01 1.344209400927653675e-01 1.344209400927653675e-01
1.700000000000000000e+01 1.627374437119377126e-01 1.627374437119377126e-01 1.627374437119377126e-01 1.627374437119377126e-01
1.800000000000000000e+01 1.254006883527087335e-01 1.254006883527087335e-01 1.254006883527087335e-01 1.254006883527087335e-01
1.900000000000000000e+01 3.687478194249433489e-02 3.687478194249433489e-02 3.687478194249433489e-02 3.687478194249433489e-02
2.000000000000000000e+01 3.951677099825610245e-02 3.951677099825610245e-02 3.951677099825610245e-02 3.951677099825610245e-02
2.100000000000000000e+01 1.383512189009555582e-01 1.383512189009555582e-01 1.383512189009555582e-01 1.383512189009555582e-01
2.200000000000000000e+01 3.328856785439534421e-02 3.328856785439534421e-02 3.328856785439534421e-02 3.328856785439534421e-02
2.300000000000000000e+01 8.715595936759681917e-02 8.715595936759681917e-02 8.715595936759681917e-02 8.715595936759681917e-02
2.400000000000000000e+01 1.110895709067074161e-01 1.110895709067074161e-01 1.110895709067074161e-01 1.110895709067074161e-01
2.500000000000000000e+01 -3.411288419318085630e-02 -3.411288419318085630e-02 -3.411288419318085630e-02 -3.411288419318085630e-02
2.600000000000000000e+01 6.708595381533816182e-02 6.708595381533816182e-02 6.708595381533816182e-02 6.708595381533816182e-02
2.700000000000000000e+01 2.003133725022690215e-01 2.003133725022690215e-01 2.003133725022690215e-01 2.003133725022690215e-01
2.800000000000000000e+01 4.399902391881908847e-02 4.399902391881908847e-02 4.399902391881908847e-02 4.399902391881908847e-02
2.900000000000000000e+01 1.028256490432939568e-01 1.028256490432939568e-01 1.028256490432939568e-01 1.028256490432939568e-01
3.000000000000000000e+01 1.122539133932174693e-01 1.122539133932174693e-01 1.122539133932174693e-01 1.122539133932174693e-01
3.100000000000000000e+01 1.268641061567389594e-01 1.268641061567389594e-01 1.268641061567389594e-01 1.268641061567389594e-01
3.200000000000000000e+01 1.560427048675959716e-01 1.560427048675959716e-01 1.560427048675959716e-01 1.560427048675959716e-01
3.300000000000000000e+01 1.405473625660108306e-01 1.405473625660108306e-01 1.405473625660108306e-01 1.405473625660108306e-01
3.400000000000000000e+01 6.549458293831728062e-02 6.549458293831728062e-02 6.549458293831728062e-02 6.549458293831728062e-02
