Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 2.060804297703563437e-01 2.060804297703563437e-01 2.060804297703563437e-01 2.060804297703563437e-01
1.000000000000000000e+00 4.377719977521230543e-01 4.377719977521230543e-01 4.377719977521230543e-01 4.377719977521230543e-01
2.000000000000000000e+00 3.666352247114408325e-01 3.666352247114408325e-01 3.666352247114408325e-01 3.666352247114408325e-01
3.000000000000000000e+00 1.170752083856973075e-01 1.170752083856973075e-01 1.170752083856973075e-01 1.170752083856973075e-01
4.000000000000000000e+00 5.373771521715671184e-01 5.373771521715671184e-01 5.373771521715671184e-01 5.373771521715671184e-01
5.000000000000000000e+00 4.517853521788428028e-01 4.517853521788428028e-01 4.517853521788428028e-01 4.517853521788428028e-01
6.000000000000000000e+00 -1.551428782057014955e-01 -1.551428782057014955e-01 -1.551428782057014955e-01 -1.551428782057014955e-01
7.000000000000000000e+00 1.221268735409260231e-01 1.221268735409260231e-01 1.221268735409260231e-01 1.221268735409260231e-01
8.000000000000000000e+00 7.337428295824185431e-01 7.337428295824185431e-01 7.337428295824185431e-01 7.337428295824185431e-01
9.000000000000000000e+00 1.459369129836638190e-01 1.459369129836638190e-01 1.459369129836638190e-01 1.459369129836638190e-01
1.000000000000000000e+01 -5.456489333335849956e-01 -5.456489333335849956e-01 -5.456489333335849956e-01 -5.456489333335849956e-01
1.100000000000000000e+01 6.576562889187644867e-01 6.576562889187644867e-01 6.576562889187644867e-01 6.576562889187644867e-01
1.200000000000000000e+01 4.106226980074689781e-01 4.106226980074689781e-01 4.106226980074689781e-01 4.106226980074689781e-01
1.300000000000000000e+01 1.694330656376591693e-01 1.694330656376591693e-01 1.694330656376591693e-01 1.694330656376591693e-01
1.400000000000000000e+01 -1.023899152076225005e-01 -1.023899152076225005e-01 -1.023899152076225005e-01 -1.023899152076225005e-01
1.500000000000000000e+01 6.023223989092558739e-01 6.023223989092558739e-01 6.023223989092558739e-01 6.023223989092558739e-01
1.600000000000000000e+01 4.568538250891586161e-01 4.568538250891586161e-01 4.568538250891586161e-01 4.568538250891586161e-01
1.700000000000000000e+01 -1.679641549775890974e-01 -1.679641549775890974e-01 -1.679641549775890974e-01 -1.679641549775890974e-01
1.800000000000000000e+01 2.028648784671699123e-01 2.028648784671699123e-01 2.028648784671699123e-01 2.028648784671699123e-01
1.900000000000000000e+01 3.088826565956120929e-01 3.088826565956120929e-01 3.088826565956120929e-01 3.088826565956120929e-01
2.000000000000000000e+01 4.860164896740187812e-01 4.860164896740187812e-01 4.860164896740187812e-01 4.860164896740187812e-01
2.100000000000000000e+01 6.098818466970865604e-01 6.098818466970865604e-01 6.098818466970865604e-01 6.098818466970865604e-01
2.200000000000000000e+01 1.172478015186838585e-01 1.172478015186838585e-01 1.172478015186838585e-01 1.172478015186838585e-01
2.300000000000000000e+01 4.120523113577216345e-01 4.120523113577216345e-01 4.120523113577216345e-01 4.120523113577216345e-01
2.400000000000000000e+01 -1.595108009830812634e-01 -1.595108009830812634e-01 -1.595108009830812634e-01 -1.595108009830812634e-01
2.500000000000000000e+01 5.509563185503753013e-01 5.509563185503753013e-01 5.509563185503753013e-01 5.509563185503753013e-01
2.600000000000000000e+01 9.457608207265468803e-01 9.457608207265468803e-01 9.457608207265468803e-01 9.457608207265468803e-01
2.700000000000000000e+01 -3.364220231799545935e-03 -3.364220231799545935e-03 -3.364220231799545935e-03 -3.364220231799545935e-03
2.800000000000000000e+01 -9.073286817388265257e-02 -9.073286817388265257e-02 -9.073286817388265257e-02 -9.073286817388265257e-02
2.900000000000000000e+01 1.130287237362793240e+00 1.130287237362793240e+00 1.130287237362793240e+00 1.130287237362793240e+00
3.000000000000000000e+01 2.681756659124615583e-01 2.681756659124615583e-01 2.681756659124615583e-01 2.681756659124615583e-01
3.100000000000000000e+01 6.813583990798310897e-01 6.813583990798310897e-01 6.813583990798310897e-01 6.813583990798310897e-01
3.200000000000000000e+01 7.540897302132723024e-01 7.540897302132723024e-01 7.540897302132723024e-01 7.540897302132723024e-01
3.300000000000000000e+01 -3.166495723815919150e-01 -3.166495723815919150e-01 -3.166495723815919150e-01 -3.166495723815919150e-01
3.400000000000000000e+01 7.802700198017058497e-01 7.802700198017058497e-01 7.802700198017058497e-01 7.802700198017058497e-01
3.500000000000000000e+01 7.937173015973141288e-01 7.937173015973141288e-01 7.937173015973141288e-01 7.937173015973141288e-01
3.600000000000000000e+01 1.682793481901157240e-01 1.682793481901157240e-01 1.682793481901157240e-01 1.682793481901157240e-01
3.700000000000000000e+01 4.764956068139505341e-01 4.764956068139505341e-01 4.764956068139505341e-01 4.764956068139505341e-01
3.800000000000000000e+01 8.356246481893417899e-01 8.356246481893417899e-01 8.356246481893417899e-01 8.356246481893417899e-01
3.900000000000000000e+01 3.793914361528811230e-01 3.793914361528811230e-01 3.793914361528811230e-01 3.793914361528811230e-01
4.000000000000000000e+01 7.775461215550086846e-01 7.775461215550086846e-01 7.775461215550086846e-01 7.775461215550086846e-01
4.100000000000000000e+01 1.055134239061077617e+00 1.055134239061077617e+00 1.055134239061077617e+00 1.055134239061077617e+00
4.200000000000000000e+01 2.675854457834503930e-01 2.675854457834503930e-01 2.675854457834503930e-01 2.675854457834503930e-01
4.300000000000000000e+01 1.897503225944148497e-01 1.897503225944148497e-01 1.897503225944148497e-01 1.897503225944148497e-01
4.400000000000000000e+01 1.231051232130016659e+00 1.231051232130016659e+00 1.231051232130016659e+00 1.231051232130016659e+00
4.500000000000000000e+01 2.918188128790956681e-01 2.918188128790956681e-01 2.918188128790956681e-01 2.918188128790956681e-01
4.600000000000000000e+01 5.549301232379963977e-01 5.549301232379963977e-01 5.549301232379963977e-01 5.549301232379963977e-01
4.700000000000000000e+01 8.327670066758661171e-01 8.327670066758661171e-01 8.327670066758661171e-01 8.327670066758661171e-01
4.800000000000000000e+01 8.715120550679331668e-01 8.715120550679331668e-01 8.715120550679331668e-01 8.715120550679331668e-01
4.900000000000000000e+01 -7.891996123744927580e-03 -7.891996123744927580e-03 -7.891996123744927580e-03 -7.891996123744927580e-03
5.000000000000000000e+01 1.201204554652228529e+00 1.201204554652228529e+00 1.201204554652228529e+00 1.201204554652228529e+00
5.100000000000000000e+01 1.014875957619044700e+00 1.014875957619044700e+00 1.014875957619044700e+00 1.014875957619044700e+00
5.200000000000000000e+01 -2.873028931070167324e-01 -2.873028931070167324e-01 -2.873028931070167324e-01 -2.873028931070167324e-01
5.300000000000000000e+01 4.821473737619695332e-01 4.821473737619695332e-01 4.821473737619695332e-01 4.821473737619695332e-01
5.400000000000000000e+01 1.213854680476211589e+00 1.213854680476211589e+00 1.213854680476211589e+00 1.213854680476211589e+00
5.500000000000000000e+01 5.499480656461606110e-01 5.499480656461606110e-01 5.499480656461606110e-01 5.499480656461606110e-01
5.600000000000000000e+01 2.052161776710099972e-01 2.052161776710099972e-01 2.052161776710099972e-01 2.052161776710099972e-01
5.700000000000000000e+01 1.346037692522493723e+00 1.346037692522493723e+00 1.346037692522493723e+00 1.346037692522493723e+00
5.800000000000000000e+01 4.787984515400458552e-01 4.787984515400458552e-01 4.787984515400458552e-01 4.787984515400458552e-01
5.900000000000000000e+01 3.244029368530325641e-01 3.244029368530325641e-01 3.244029368530325641e-01 3.244029368530325641e-01
6.000000000000000000e+01 1.054762120613579324e+00 1.054762120613579324e+00 1.054762120613579324e+00 1.054762120613579324e+00
6.100000000000000000e+01 5.069519154735505628e-01 5.069519154735505628e-01 5.069519154735505628e-01 5.069519154735505628e-01
6.200000000000000000e+01 3.283349817410769478e-01 3.283349817410769478e-01 3.283349817410769478e-01 3.283349817410769478e-01
6.300000000000000000e+01 5.986222033566725997e-01 5.986222033566725997e-01 5.986222033566725997e-01 5.986222033566725997e-01
6.400000000000000000e+01 9.059398048649865975e-01 9.059398048649865975e-01 9.059398048649865975e-01 9.059398048649865975e-01
6.500000000000000000e+01 5.165889416338927953e-01 5.165889416338927953e-01 5.165889416338927953e-01 5.165889416338927953e-01
6.600000000000000000e+01 4.996425774091411420e-01 4.996425774091411420e-01 4.996425774091411420e-01 4.996425774091411420e-01
6.700000000000000000e+01 1.937162139931435934e-01 1.937162139931435934e-01 1.937162139931435934e-01 1.937162139931435934e-01
6.800000000000000000e+01 3.623038550234533028e-01 3.623038550234533028e-01 3.623038550234533028e-01 3.623038550234533028e-01
6.900000000000000000e+01 6.470253828411078878e-01 6.470253828411078878e-01 6.470253828411078878e-01 6.470253828411078878e-01
7.000000000000000000e+01 5.779568117628741675e-01 5.779568117628741675e-01 5.779568117628741675e-01 5.779568117628741675e-01
7.100000000000000000e+01 6.700244171367765178e-01 6.700244171367765178e-01 6.700244171367765178e-01 6.700244171367765178e-01
7.200000000000000000e+01 3.870977354462838416e-01 3.870977354462838416e-01 3.870977354462838416e-01 3.870977354462838416e-01
7.300000000000000000e+01 5.925518690826516721e-01 5.925518690826516721e-01 5.925518690826516721e-01 5.925518690826516721e-01
7.400000000000000000e+01 2.750583092462758894e-01 2.750583092462758894e-01 2.750583092462758894e-01 2.750583092462758894e-01
7.500000000000000000e+01 1.349033164234054949e+00 1.349033164234054949e+00 1.349033164234054949e+00 1.349033164234054949e+00
