Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 -2.709183033067185664e-01 -2.709183033067185664e-01 -2.709183033067185664e-01 -2.709183033067185664e-01
1.000000000000000000e+00 -1.851861602643559146e-01 -1.851861602643559146e-01 -1.851861602643559146e-01 -1.851861602643559146e-01
2.000000000000000000e+00 -2.408350588519325985e-01 -2.408350588519325985e-01 -2.408350588519325985e-01 -2.408350588519325985e-01
3.000000000000000000e+00 -8.315239316004180425e-02 -8.315239316004180425e-02 -8.315239316004180425e-02 -8.315239316004180425e-02
4.000000000000000000e+00 -1.650176022998482428e-01 -1.650176022998482428e-01 -1.650176022998482428e-01 -1.650176022998482428e-01
5.000000000000000000e+00 -1.119310700697792871e-01 -1.119310700697792871e-01 -1.119310700697792871e-01 -1.119310700697792871e-01
6.000000000000000000e+00 -1.425443628767414095e-01 -1.425443628767414095e-01 -1.425443628767414095e-01 -1.425443628767414095e-01
7.000000000000000000e+00 -1.067183960088532585e-01 -1.067183960088532585e-01 -1.067183960088532585e-01 -1.067183960088532585e-01
8.000000000000000000e+00 -1.316514269933626302e-01 -1.316514269933626302e-01 -1.316514269933626302e-01 -1.316514269933626302e-01
9.000000000000000000e+00 -1.440304327735874960e-02 -1.440304327735874960e-02 -1.440304327735874960e-02 -1.440304327735874960e-02
1.000000000000000000e+01 -1.549721088263621149e-01 -1.549721088263621149e-01 -1.549721088263621149e-01 -1.549721088263621149e-01
1.100000000000000000e+01 -6.303196729004260923e-02 -6.303196729004260923e-02 -6.303196729004260923e-02 -6.303196729004260923e-02
1.200000000000000000e+01 -1.118585606306709418e-01 -1.118585606306709418e-01 -1.118585606306709418e-01 -1.118585606306709418e-01
1.300000000000000000e+01 -2.577912386384045851e-02 -2.577912386384045851e-02 -2.577912386384045851e-02 -2.577912386384045851e-02
1.400000000000000000e+01 -3.052133385639872742e-02 -3.052133385639872742e-02 -3.052133385639872742e-02 -3.052133385639872742e-02
1.500000000000000000e+01 -4.291804096920614348e-02 -4.291804096920614348e-02 -4.291804096920614348e-02 -4.291804096920614348e-02
1.600000000000000000e+01 -7.737915800941920497e-02 -7.737915800941920497e-02 -7.737915800941920497e-02 -7.737915800941920497e-02
1.700000000000000000e+01 -1.806903697848789847e-02 -1.806903697848789847e-02 -1.806903697848789847e-02 -1.806903697848789847e-02
1.800000000000000000e+01 -1.151958403045499346e-01 -1.151958403045499346e-01 -1.151958403045499346e-01 -1.151958403045499346e-01
1.900000000000000000e+01 -4.599764323439568814e-02 -4.599764323439568814e-02 -4.599764323439568814e-02 -4.599764323439568814e-02
2.000000000000000000e+01 -8.079109870334036728e-03 -8.079109870334036728e-03 -8.079109870334036728e-03 -8.079109870334036728e-03
2.100000000000000000e+01 -7.985302805737087839e-02 -7.985302805737087839e-02 -7.985302805737087839e-02 -7.985302805737087839e-02
2.200000000000000000e+01 -6.417160575565863945e-02 -6.417160575565863945e-02 -6.417160575565863945e-02 -6.417160575565863945e-02
2.300000000000000000e+01 -4.316467343619579539e-02 -4.316467343619579539e-02 -4.316467343619579539e-02 -4.316467343619579539e-02
2.400000000000000000e+01 -5.074626745839710268e-02 -5.074626745839710268e-02 -5.074626745839710268e-02 -5.074626745839710268e-02
2.500000000000000000e+01 -3.135491916684064739e-02 -3.135491916684064739e-02 -3.135491916684064739e-02 -3.135491916684064739e-02
2.600000000000000000e+01 -3.790377884058031277e-02 -3.790377884058031277e-02 -3.790377884058031277e-02 -3.790377884058031277e-02
2.700000000000000000e+01 4.621000834736969931e-02 4.621000834736969931e-02 4.621000834736969931e-02 4.621000834736969931e-02
2.800000000000000000e+01 -9.676530378506938146e-02 -9.676530378506938146e-02 -9.676530378506938146e-02 -9.676530378506938146e-02
2.900000000000000000e+01 4.152747781905125057e-02 4.152747781905125057e-02 4.152747781905125057e-02 4.152747781905125057e-02
3.000000000000000000e+01 3.385981115421148047e-04 3.385981115421148047e-04 3.385981115421148047e-04 3.385981115421148047e-04
3.100000000000000000e+01 1.822298798723358260e-02 1.822298798723358260e-02 1.822298798723358260e-02 1.822298798723358260e-02
3.200000000000000000e+01 3.262857548389867801e-02 3.262857548389867801e-02 3.262857548389867801e-02 3.262857548389867801e-02
