Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 5.570161794333337468e+00 5.570161794333337468e+00 5.570161794333337468e+00 5.570161794333337468e+00
1.000000000000000000e+00 -9.739628779334292830e+00 -9.739628779334292830e+00 -9.739628779334292830e+00 -9.739628779334292830e+00
2.000000000000000000e+00 -3.021571456576861880e+00 -3.021571456576861880e+00 -3.021571456576861880e+00 -3.021571456576861880e+00
3.000000000000000000e+00 -1.359098361901823759e+00 -1.359098361901823759e+00 -1.359098361901823759e+00 -1.359098361901823759e+00
4.000000000000000000e+00 -1.349655874781630738e+00 -1.349655874781630738e+00 -1.349655874781630738e+00 -1.349655874781630738e+00
5.000000000000000000e+00 -3.029482900953861968e+00 -3.029482900953861968e+00 -3.029482900953861968e+00 -3.029482900953861968e+00
6.000000000000000000e+00 4.584223526866469944e-01 4.584223526866469944e-01 4.584223526866469944e-01 4.584223526866469944e-01
7.000000000000000000e+00 -2.379193541650026056e+00 -2.379193541650026056e+00 -2.379193541650026056e+00 -2.379193541650026056e+00
8.000000000000000000e+00 3.766151821412992429e-01 3.766151821412992429e-01 3.766151821412992429e-01 3.766151821412992429e-01
9.000000000000000000e+00 2.846079786448396653e+00 2.846079786448396653e+00 2.846079786448396653e+00 2.846079786448396653e+00
1.000000000000000000e+01 -8.764311227098346979e-01 -8.764311227098346979e-01 -8.764311227098346979e-01 -8.764311227098346979e-01
1.100000000000000000e+01 -2.496315048493175315e+00 -2.496315048493175315e+00 -2.496315048493175315e+00 -2.496315048493175315e+00
1.200000000000000000e+01 -8.450424697566800702e-01 -8.450424697566800702e-01 -8.450424697566800702e-01 -8.450424697566800702e-01
1.300000000000000000e+01 -2.124757172173560860e-01 -2.124757172173560860e-01 -2.124757172173560860e-01 -2.124757172173560860e-01
1.400000000000000000e+01 -5.188133084649694249e-01 -5.188133084649694249e-01 -5.188133084649694249e-01 -5.188133084649694249e-01
1.500000000000000000e+01 -1.108277826992482229e+00 -1.108277826992482229e+00 -1.108277826992482229e+00 -1.108277826992482229e+00
1.600000000000000000e+01 5.251103697169363649e-01 5.251103697169363649e-01 5.251103697169363649e-01 5.251103697169363649e-01
1.700000000000000000e+01 7.939634924261305959e-02 7.939634924261305959e-02 7.939634924261305959e-02 7.939634924261305959e-02
1.800000000000000000e+01 -1.643382407462194328e+00 -1.643382407462194328e+00 -1.643382407462194328e+00 -1.643382407462194328e+00
1.900000000000000000e+01 3.412379064394072681e-01 3.412379064394072681e-01 3.412379064394072681e-01 3.412379064394072681e-01
2.000000000000000000e+01 1.711695188202293938e+00 1.711695188202293938e+00 1.711695188202293938e+00 1.711695188202293938e+00
2.100000000000000000e+01 -1.273202240317830025e+00 -1.273202240317830025e+00 -1.273202240317830025e+00 -1.273202240317830025e+00
2.200000000000000000e+01 -1.946744047020251722e+00 -1.946744047020251722e+00 -1.946744047020251722e+00 -1.946744047020251722e+00
2.300000000000000000e+01 -2.193106384703306100e-01 -2.193106384703306100e-01 -2.193106384703306100e-01 -2.193106384703306100e-01
2.400000000000000000e+01 -8.717370625141497298e-01 -8.717370625141497298e-01 -8.717370625141497298e-01 -8.717370625141497298e-01
2.500000000000000000e+01 -9.027956730023813103e-02 -9.027956730023813103e-02 -9.027956730023813103e-02 -9.027956730023813103e-02
2.600000000000000000e+01 -5.471400202060608224e-03 -5.471400202060608224e-03 -5.471400202060608224e-03 -5.471400202060608224e-03
2.700000000000000000e+01 -2.451638285782782589e-01 -2.451638285782782589e-01 -2.451638285782782589e-01 -2.451638285782782589e-01
2.800000000000000000e+01 -7.321008970749850464e-01 -7.321008970749850464e-01 -7.321008970749850464e-01 -7.321008970749850464e-01
2.900000000000000000e+01 1.312171529750433829e-01 1.312171529750433829e-01 1.312171529750433829e-01 1.312171529750433829e-01
3.000000000000000000e+01 -3.053208610135628720e-01 -3.053208610135628720e-01 -3.053208610135628720e-01 -3.053208610135628720e-01
3.100000000000000000e+01 -9.798738990367801271e-01 -9.798738990367801271e-01 -9.798738990367801271e-01 -9.798738990367801271e-01
3.200000000000000000e+01 1.807698228107942895e-01 1.807698228107942895e-01 1.807698228107942895e-01 1.807698228107942895e-01
3.300000000000000000e+01 -3.332815848619080090e-01 -3.332815848619080090e-01 -3.332815848619080090e-01 -3.332815848619080090e-01
3.400000000000000000e+01 -1.144940609132834020e-01 -1.144940609132834020e-01 -1.144940609132834020e-01 -1.144940609132834020e-01
3.500000000000000000e+01 -1.938948504470999090e+00 -1.938948504470999090e+00 -1.938948504470999090e+00 -1.938948504470999090e+00
3.600000000000000000e+01 2.716198253505560101e-01 2.716198253505560101e-01 2.716198253505560101e-01 2.716198253505560101e-01
3.700000000000000000e+01 -5.539196268572519344e-01 -5.539196268572519344e-01 -5.539196268572519344e-01 -5.539196268572519344e-01
3.800000000000000000e+01 -3.173945529961432754e-01 -3.173945529961432754e-01 -3.173945529961432754e-01 -3.173945529961432754e-01
3.900000000000000000e+01 -4.266599022987687673e-01 -4.266599022987687673e-01 -4.266599022987687673e-01 -4.266599022987687673e-01
4.000000000000000000e+01 -4.210000766953724827e-01 -4.210000766953724827e-01 -4.210000766953724827e-01 -4.210000766953724827e-01
4.100000000000000000e+01 -2.906769055128970436e-01 -2.906769055128970436e-01 -2.906769055128970436e-01 -2.906769055128970436e-01
4.200000000000000000e+01 8.581305490842336958e-01 8.581305490842336958e-01 8.581305490842336958e-01 8.581305490842336958e-01
4.300000000000000000e+01 -3.263210144113719569e-01 -3.263210144113719569e-01 -3.263210144113719569e-01 -3.263210144113719569e-01
4.400000000000000000e+01 -4.677393250629504062e-01 -4.677393250629504062e-01 -4.677393250629504062e-01 -4.677393250629504062e-01
4.500000000000000000e+01 2.627749631270586139e-01 2.627749631270586139e-01 2.627749631270586139e-01 2.627749631270586139e-01
4.600000000000000000e+01 -1.625472643653104177e-01 -1.625472643653104177e-01 -1.625472643653104177e-01 -1.625472643653104177e-01
4.700000000000000000e+01 -3.882377573698588824e-01 -3.882377573698588824e-01 -3.882377573698588824e-01 -3.882377573698588824e-01
4.800000000000000000e+01 -6.686285918455527888e-01 -6.686285918455527888e-01 -6.686285918455527888e-01 -6.686285918455527888e-01
4.900000000000000000e+01 -3.733391627459724527e-01 -3.733391627459724527e-01 -3.733391627459724527e-01 -3.733391627459724527e-01
5.000000000000000000e+01 4.831750732038130325e-01 4.831750732038130325e-01 4.831750732038130325e-01 4.831750732038130325e-01
5.100000000000000000e+01 2.547920793728011488e-02 2.547920793728011488e-02 2.547920793728011488e-02 2.547920793728011488e-02
5.200000000000000000e+01 1.266383340872696328e+00 1.266383340872696328e+00 1.266383340872696328e+00 1.266383340872696328e+00
5.300000000000000000e+01 4.395909326435515907e-01 4.395909326435515907e-01 4.395909326435515907e-01 4.395909326435515907e-01
5.400000000000000000e+01 -1.693188096116352848e-01 -1.693188096116352848e-01 -1.693188096116352848e-01 -1.693188096116352848e-01
5.500000000000000000e+01 -4.966167338236415763e-01 -4.966167338236415763e-01 -4.966167338236415763e-01 -4.966167338236415763e-01
5.600000000000000000e+01 5.096561442860183533e-01 5.096561442860183533e-01 5.096561442860183533e-01 5.096561442860183533e-01
5.700000000000000000e+01 1.314950658777986003e+00 1.314950658777986003e+00 1.314950658777986003e+00 1.314950658777986003e+00
5.800000000000000000e+01 -1.425948486778794821e+00 -1.425948486778794821e+00 -1.425948486778794821e+00 -1.425948486778794821e+00
5.900000000000000000e+01 -1.605344366569295467e+00 -1.605344366569295467e+00 -1.605344366569295467e+00 -1.605344366569295467e+00
6.000000000000000000e+01 1.025777512925040158e+00 1.025777512925040158e+00 1.025777512925040158e+00 1.025777512925040158e+00
6.100000000000000000e+01 1.411569454131117729e-01 1.411569454131117729e-01 1.411569454131117729e-01 1.411569454131117729e-01
6.200000000000000000e+01 -1.287151965765887196e+00 -1.287151965765887196e+00 -1.287151965765887196e+00 -1.287151965765887196e+00
6.300000000000000000e+01 6.173290467811434201e-01 6.173290467811434201e-01 6.173290467811434201e-01 6.173290467811434201e-01
6.400000000000000000e+01 2.921660457681866108e-01 2.921660457681866108e-01 2.921660457681866108e-01 2.921660457681866108e-01
6.500000000000000000e+01 3.873264483846280970e-01 3.873264483846280970e-01 3.873264483846280970e-01 3.873264483846280970e-01
6.600000000000000000e+01 -2.192699134762371993e-01 -2.192699134762371993e-01 -2.192699134762371993e-01 -2.192699134762371993e-01
6.700000000000000000e+01 1.719276648358345483e-01 1.719276648358345483e-01 1.719276648358345483e-01 1.719276648358345483e-01
6.800000000000000000e+01 4.265489575068653338e-01 4.265489575068653338e-01 4.265489575068653338e-01 4.265489575068653338e-01
6.900000000000000000e+01 -1.090614338407041028e+00 -1.090614338407041028e+00 -1.090614338407041028e+00 -1.090614338407041028e+00
7.000000000000000000e+01 -6.973895249324835177e-01 -6.973895249324835177e-01 -6.973895249324835177e-01 -6.973895249324835177e-01
7.100000000000000000e+01 -5.203000608508085989e-01 -5.203000608508085989e-01 -5.203000608508085989e-01 -5.203000608508085989e-01
7.200000000000000000e+01 -5.450895409344347353e-01 -5.450895409344347353e-01 -5.450895409344347353e-01 -5.450895409344347353e-01
7.300000000000000000e+01 -7.801062412761590181e-01 -7.801062412761590181e-01 -7.801062412761590181e-01 -7.801062412761590181e-01
7.400000000000000000e+01 3.713434020646420586e-01 3.713434020646420586e-01 3.713434020646420586e-01 3.713434020646420586e-01
7.500000000000000000e+01 -1.111826803545776787e-01 -1.111826803545776787e-01 -1.111826803545776787e-01 -1.111826803545776787e-01
7.600000000000000000e+01 -1.991608674946757362e-01 -1.991608674946757362e-01 -1.991608674946757362e-01 -1.991608674946757362e-01
7.700000000000000000e+01 1.070938470497436179e-01 1.070938470497436179e-01 1.070938470497436179e-01 1.070938470497436179e-01
7.800000000000000000e+01 -6.788036136384899555e-01 -6.788036136384899555e-01 -6.788036136384899555e-01 -6.788036136384899555e-01
7.900000000000000000e+01 -5.623713796547602506e-01 -5.623713796547602506e-01 -5.623713796547602506e-01 -5.623713796547602506e-01
