Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 -1.938179588563558320e-01 -1.938179588563558320e-01 -1.938179588563558320e-01 -1.938179588563558320e-01
1.000000000000000000e+00 -6.088515626941645026e-02 -6.088515626941645026e-02 -6.088515626941645026e-02 -6.088515626941645026e-02
2.000000000000000000e+00 -9.858221225416476108e-02 -9.858221225416476108e-02 -9.858221225416476108e-02 -9.858221225416476108e-02
3.000000000000000000e+00 -2.997885561139647728e-02 -2.997885561139647728e-02 -2.997885561139647728e-02 -2.997885561139647728e-02
4.000000000000000000e+00 4.002042353576280159e-02 4.002042353576280159e-02 4.002042353576280159e-02 4.002042353576280159e-02
5.000000000000000000e+00 3.666701703363986486e-02 3.666701703363986486e-02 3.666701703363986486e-02 3.666701703363986486e-02
6.000000000000000000e+00 2.079601878313943331e-01 2.079601878313943331e-01 2.079601878313943331e-01 2.079601878313943331e-01
7.000000000000000000e+00 4.488610997509004941e-01 4.488610997509004941e-01 4.488610997509004941e-01 4.488610997509004941e-01
8.000000000000000000e+00 9.947794530330256180e-01 9.947794530330256180e-01 9.947794530330256180e-01 9.947794530330256180e-01
9.000000000000000000e+00 3.812290716640983623e-01 3.812290716640983623e-01 3.812290716640983623e-01 3.812290716640983623e-01
1.000000000000000000e+01 8.405862343085114541e-02 8.405862343085114541e-02 8.405862343085114541e-02 8.405862343085114541e-02
1.100000000000000000e+01 2.072790319543578452e-01 2.072790319543578452e-01 2.072790319543578452e-01 2.072790319543578452e-01
1.200000000000000000e+01 2.585906438335562885e-01 2.585906438335562885e-01 2.585906438335562885e-01 2.585906438335562885e-01
1.300000000000000000e+01 2.218161110289963156e-01 2.218161110289963156e-01 2.218161110289963156e-01 2.218161110289963156e-01
1.400000000000000000e+01 2.940166634737849671e-01 2.940166634737849671e-01 2.940166634737849671e-01 2.940166634737849671e-01
1.500000000000000000e+01 1.488557739409910319e-01 1.488557739409910319e-01 1.488557739409910319e-01 1.488557739409910319e-01
1.600000000000000000e+01 3.129259393406526035e-01 3.129259393406526035e-01 3.129259393406526035e-01 3.129259393406526035e-01
1.700000000000000000e+01 7.540960611856832585e-02 7.540960611856832585e-02 7.540960611856832585e-02 7.540960611856832585e-02
1.800000000000000000e+01 5.724393284710779239e-01 5.724393284710779239e-01 5.724393284710779239e-01 5.724393284710779239e-01
1.900000000000000000e+01 2.237178978175103361e-01 2.237178978175103361e-01 2.237178978175103361e-01 2.237178978175103361e-01
2.000000000000000000e+01 2.514913918560080508e-01 2.514913918560080508e-01 2.514913918560080508e-01 2.514913918560080508e-01
2.100000000000000000e+01 8.496459309134087035e-02 8.496459309134087035e-02 8.496459309134087035e-02 8.496459309134087035e-02
2.200000000000000000e+01 8.833214405291202331e-02 8.833214405291202331e-02 8.833214405291202331e-02 8.833214405291202331e-02
2.300000000000000000e+01 1.464046208533824611e-01 1.464046208533824611e-01 1.464046208533824611e-01 1.464046208533824611e-01
2.400000000000000000e+01 2.656672723248503301e-02 2.656672723248503301e-02 2.656672723248503301e-02 2.656672723248503301e-02
2.500000000000000000e+01 4.453580230172778098e-02 4.453580230172778098e-02 4.453580230172778098e-02 4.453580230172778098e-02
2.600000000000000000e+01 2.618593754307905197e-01 2.618593754307905197e-01 2.618593754307905197e-01 2.618593754307905197e-01
2.700000000000000000e+01 -1.000509334334359068e-01 -1.000509334334359068e-01 -1.000509334334359068e-01 -1.000509334334359068e-01
2.800000000000000000e+01 1.071863623480754091e-01 1.071863623480754091e-01 1.071863623480754091e-01 1.071863623480754091e-01
2.900000000000000000e+01 9.414413019285854112e-02 9.414413019285854112e-02 9.414413019285854112e-02 9.414413019285854112e-02
3.000000000000000000e+01 -2.948634815682110027e-02 -2.948634815682110027e-02 -2.948634815682110027e-02 -2.948634815682110027e-02
3.100000000000000000e+01 -7.960943766590193593e-02 -7.960943766590193593e-02 -7.960943766590193593e-02 -7.960943766590193593e-02
3.200000000000000000e+01 -6.313291388000175086e-02 -6.313291388000175086e-02 -6.313291388000175086e-02 -6.313291388000175086e-02
