Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 -2.239543919883684175e+00 -2.239543919883684175e+00 -2.239543919883684175e+00 -2.239543919883684175e+00
1.000000000000000000e+00 -2.057494374722681929e+00 -2.057494374722681929e+00 -2.057494374722681929e+00 -2.057494374722681929e+00
2.000000000000000000e+00 -1.961510423400361303e+00 -1.961510423400361303e+00 -1.961510423400361303e+00 -1.961510423400361303e+00
3.000000000000000000e+00 -1.852820243910371145e+00 -1.852820243910371145e+00 -1.852820243910371145e+00 -1.852820243910371145e+00
4.000000000000000000e+00 -1.841009753774659918e+00 -1.841009753774659918e+00 -1.841009753774659918e+00 -1.841009753774659918e+00
5.000000000000000000e+00 -1.732556179974268584e+00 -1.732556179974268584e+00 -1.732556179974268584e+00 -1.732556179974268584e+00
6.000000000000000000e+00 -1.815259730355199386e+00 -1.815259730355199386e+00 -1.815259730355199386e+00 -1.815259730355199386e+00
7.000000000000000000e+00 -1.648954050627497780e+00 -1.648954050627497780e+00 -1.648954050627497780e+00 -1.648954050627497780e+00
8.000000000000000000e+00 -1.607561671572299566e+00 -1.607561671572299566e+00 -1.607561671572299566e+00 -1.607561671572299566e+00
9.000000000000000000e+00 -1.489758007125764561e+00 -1.489758007125764561e+00 -1.489758007125764561e+00 -1.489758007125764561e+00
1.000000000000000000e+01 -1.526273868706032877e+00 -1.526273868706032877e+00 -1.526273868706032877e+00 -1.526273868706032877e+00
1.100000000000000000e+01 -1.487542074326984487e+00 -1.487542074326984487e+00 -1.487542074326984487e+00 -1.487542074326984487e+00
1.200000000000000000e+01 -1.059783550634171068e+00 -1.059783550634171068e+00 -1.059783550634171068e+00 -1.059783550634171068e+00
1.300000000000000000e+01 -1.230493554038852411e+00 -1.230493554038852411e+00 -1.230493554038852411e+00 -1.230493554038852411e+00
1.400000000000000000e+01 -1.230712853362034398e+00 -1.230712853362034398e+00 -1.230712853362034398e+00 -1.230712853362034398e+00
1.500000000000000000e+01 -1.319177913338508867e+00 -1.319177913338508867e+00 -1.319177913338508867e+00 -1.319177913338508867e+00
1.600000000000000000e+01 -1.256370250524517562e+00 -1.256370250524517562e+00 -1.256370250524517562e+00 -1.256370250524517562e+00
1.700000000000000000e+01 -1.161924834325106959e+00 -1.161924834325106959e+00 -1.161924834325106959e+00 -1.161924834325106959e+00
1.800000000000000000e+01 -1.498295620611257206e+00 -1.498295620611257206e+00 -1.498295620611257206e+00 -1.498295620611257206e+00
1.900000000000000000e+01 -1.350486724050996346e+00 -1.350486724050996346e+00 -1.350486724050996346e+00 -1.350486724050996346e+00
2.000000000000000000e+01 -1.032328276957898749e+00 -1.032328276957898749e+00 -1.032328276957898749e+00 -1.032328276957898749e+00
2.100000000000000000e+01 -8.092474008534221719e-01 -8.092474008534221719e-01 -8.092474008534221719e-01 -8.092474008534221719e-01
2.200000000000000000e+01 -1.486374597534933839e+00 -1.486374597534933839e+00 -1.486374597534933839e+00 -1.486374597534933839e+00
2.300000000000000000e+01 -1.114401886454571500e+00 -1.114401886454571500e+00 -1.114401886454571500e+00 -1.114401886454571500e+00
2.400000000000000000e+01 -1.271033374311339559e+00 -1.271033374311339559e+00 -1.271033374311339559e+00 -1.271033374311339559e+00
2.500000000000000000e+01 -8.635800334538648038e-01 -8.635800334538648038e-01 -8.635800334538648038e-01 -8.635800334538648038e-01
2.600000000000000000e+01 -1.015898432043611521e+00 -1.015898432043611521e+00 -1.015898432043611521e+00 -1.015898432043611521e+00
2.700000000000000000e+01 -1.092196660419386900e+00 -1.092196660419386900e+00 -1.092196660419386900e+00 -1.092196660419386900e+00
2.800000000000000000e+01 -9.359484750422201182e-01 -9.359484750422201182e-01 -9.359484750422201182e-01 -9.359484750422201182e-01
2.900000000000000000e+01 -7.724232301827780311e-01 -7.724232301827780311e-01 -7.724232301827780311e-01 -7.724232301827780311e-01
3.000000000000000000e+01 -7.930005568265511284e-01 -7.930005568265511284e-01 -7.930005568265511284e-01 -7.930005568265511284e-01
3.100000000000000000e+01 -7.051765881870302177e-01 -7.051765881870302177e-01 -7.051765881870302177e-01 -7.051765881870302177e-01
3.200000000000000000e+01 -8.896637249445885631e-01 -8.896637249445885631e-01 -8.896637249445885631e-01 -8.896637249445885631e-01
3.300000000000000000e+01 -1.031561569062146688e+00 -1.031561569062146688e+00 -1.031561569062146688e+00 -1.031561569062146688e+00
3.400000000000000000e+01 -5.657883390508916532e-01 -5.657883390508916532e-01 -5.657883390508916532e-01 -5.657883390508916532e-01
3.500000000000000000e+01 -6.416641930119730830e-01 -6.416641930119730830e-01 -6.416641930119730830e-01 -6.416641930119730830e-01
3.600000000000000000e+01 -4.244410127740885774e-01 -4.244410127740885774e-01 -4.244410127740885774e-01 -4.244410127740885774e-01
3.700000000000000000e+01 -8.462794245243545621e-01 -8.462794245243545621e-01 -8.462794245243545621e-01 -8.462794245243545621e-01
3.800000000000000000e+01 -1.813806576828059236e-01 -1.813806576828059236e-01 -1.813806576828059236e-01 -1.813806576828059236e-01
3.900000000000000000e+01 -8.181972835500209706e-01 -8.181972835500209706e-01 -8.181972835500209706e-01 -8.181972835500209706e-01
4.000000000000000000e+01 -7.232805205828747308e-01 -7.232805205828747308e-01 -7.232805205828747308e-01 -7.232805205828747308e-01
4.100000000000000000e+01 -7.004307868020379635e-01 -7.004307868020379635e-01 -7.004307868020379635e-01 -7.004307868020379635e-01
4.200000000000000000e+01 -7.044006308810027983e-01 -7.044006308810027983e-01 -7.044006308810027983e-01 -7.044006308810027983e-01
4.300000000000000000e+01 -6.343208456626323599e-01 -6.343208456626323599e-01 -6.343208456626323599e-01 -6.343208456626323599e-01
4.400000000000000000e+01 -6.501183853927501310e-01 -6.501183853927501310e-01 -6.501183853927501310e-01 -6.501183853927501310e-01
4.500000000000000000e+01 -5.908006875763665011e-01 -5.908006875763665011e-01 -5.908006875763665011e-01 -5.908006875763665011e-01
4.600000000000000000e+01 -7.013022476340042832e-01 -7.013022476340042832e-01 -7.013022476340042832e-01 -7.013022476340042832e-01
4.700000000000000000e+01 -6.285607429117838763e-01 -6.285607429117838763e-01 -6.285607429117838763e-01 -6.285607429117838763e-01
4.800000000000000000e+01 -5.131893884217553214e-01 -5.131893884217553214e-01 -5.131893884217553214e-01 -5.131893884217553214e-01
4.900000000000000000e+01 -3.547699504155850669e-01 -3.547699504155850669e-01 -3.547699504155850669e-01 -3.547699504155850669e-01
5.000000000000000000e+01 -4.912891711772437442e-01 -4.912891711772437442e-01 -4.912891711772437442e-01 -4.912891711772437442e-01
5.100000000000000000e+01 -5.431402778636948980e-01 -5.431402778636948980e-01 -5.431402778636948980e-01 -5.431402778636948980e-01
5.200000000000000000e+01 -5.946848748395754392e-01 -5.946848748395754392e-01 -5.946848748395754392e-01 -5.946848748395754392e-01
5.300000000000000000e+01 -5.789843484720684774e-01 -5.789843484720684774e-01 -5.789843484720684774e-01 -5.789843484720684774e-01
5.400000000000000000e+01 -3.753680877699394625e-01 -3.753680877699394625e-01 -3.753680877699394625e-01 -3.753680877699394625e-01
5.500000000000000000e+01 -2.707313302795914534e-01 -2.707313302795914534e-01 -2.707313302795914534e-01 -2.707313302795914534e-01
5.600000000000000000e+01 -6.033820901561657291e-01 -6.033820901561657291e-01 -6.033820901561657291e-01 -6.033820901561657291e-01
5.700000000000000000e+01 -4.957984206416578554e-01 -4.957984206416578554e-01 -4.957984206416578554e-01 -4.957984206416578554e-01
