Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 1.641603121000562604e+00 1.641603121000562604e+00 1.641603121000562604e+00 1.641603121000562604e+00
1.000000000000000000e+00 2.494486274727389041e+00 2.494486274727389041e+00 2.494486274727389041e+00 2.494486274727389041e+00
2.000000000000000000e+00 1.497447339870071337e-01 1.497447339870071337e-01 1.497447339870071337e-01 1.497447339870071337e-01
3.000000000000000000e+00 6.297040083809460498e+01 6.297040083809460498e+01 6.297040083809460498e+01 6.297040083809460498e+01
4.000000000000000000e+00 -6.124069223844737841e+00 -6.124069223844737841e+00 -6.124069223844737841e+00 -6.124069223844737841e+00
5.000000000000000000e+00 -1.366726585912797720e+00 -1.366726585912797720e+00 -1.366726585912797720e+00 -1.366726585912797720e+00
6.000000000000000000e+00 -1.143750529677682648e+00 -1.143750529677682648e+00 -1.143750529677682648e+00 -1.143750529677682648e+00
7.000000000000000000e+00 2.314609688263653986e+00 2.314609688263653986e+00 2.314609688263653986e+00 2.314609688263653986e+00
8.000000000000000000e+00 -7.343423958243894267e-01 -7.343423958243894267e-01 -7.343423958243894267e-01 -7.343423958243894267e-01
9.000000000000000000e+00 -5.496640864560488060e-01 -5.496640864560488060e-01 -5.496640864560488060e-01 -5.496640864560488060e-01
1.000000000000000000e+01 -2.183042570075675037e+00 -2.183042570075675037e+00 -2.183042570075675037e+00 -2.183042570075675037e+00
1.100000000000000000e+01 -2.249666652078309223e-02 -2.249666652078309223e-02 -2.249666652078309223e-02 -2.249666652078309223e-02
1.200000000000000000e+01 1.792559151629048415e+02 1.792559151629048415e+02 1.792559151629048415e+02 1.792559151629048415e+02
1.300000000000000000e+01 2.172186276880394284e-01 2.172186276880394284e-01 2.172186276880394284e-01 2.172186276880394284e-01
1.400000000000000000e+01 6.113126257211431991e-01 6.113126257211431991e-01 6.113126257211431991e-01 6.113126257211431991e-01
1.500000000000000000e+01 2.042342831502595712e-02 2.042342831502595712e-02 2.042342831502595712e-02 2.042342831502595712e-02
1.600000000000000000e+01 5.584408653274438583e-01 5.584408653274438583e-01 5.584408653274438583e-01 5.584408653274438583e-01
1.700000000000000000e+01 5.457819950856740432e-01 5.457819950856740432e-01 5.457819950856740432e-01 5.457819950856740432e-01
1.800000000000000000e+01 8.082390917564847843e-01 8.082390917564847843e-01 8.082390917564847843e-01 8.082390917564847843e-01
1.900000000000000000e+01 8.845684089104488557e-01 8.845684089104488557e-01 8.845684089104488557e-01 8.845684089104488557e-01
2.000000000000000000e+01 1.194442496439932500e+00 1.194442496439932500e+00 1.194442496439932500e+00 1.194442496439932500e+00
2.100000000000000000e+01 7.427781970841415005e-01 7.427781970841415005e-01 7.427781970841415005e-01 7.427781970841415005e-01
2.200000000000000000e+01 8.108832825256564458e-01 8.108832825256564458e-01 8.108832825256564458e-01 8.108832825256564458e-01
2.300000000000000000e+01 6.854389995516790846e-01 6.854389995516790846e-01 6.854389995516790846e-01 6.854389995516790846e-01
2.400000000000000000e+01 4.543599183753816440e-01 4.543599183753816440e-01 4.543599183753816440e-01 4.543599183753816440e-01
2.500000000000000000e+01 4.333780771590258762e-01 4.333780771590258762e-01 4.333780771590258762e-01 4.333780771590258762e-01
2.600000000000000000e+01 7.443405339744996185e-01 7.443405339744996185e-01 7.443405339744996185e-01 7.443405339744996185e-01
2.700000000000000000e+01 5.831459704954133905e-01 5.831459704954133905e-01 5.831459704954133905e-01 5.831459704954133905e-01
2.800000000000000000e+01 6.026848686956307599e-01 6.026848686956307599e-01 6.026848686956307599e-01 6.026848686956307599e-01
2.900000000000000000e+01 6.354061406458956229e-01 6.354061406458956229e-01 6.354061406458956229e-01 6.354061406458956229e-01
3.000000000000000000e+01 3.822538678546961166e-01 3.822538678546961166e-01 3.822538678546961166e-01 3.822538678546961166e-01
3.100000000000000000e+01 -5.910675994610889994e-01 -5.910675994610889994e-01 -5.910675994610889994e-01 -5.910675994610889994e-01
3.200000000000000000e+01 8.362559176068878886e-01 8.362559176068878886e-01 8.362559176068878886e-01 8.362559176068878886e-01
