Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 1.560043052929789009e-01 1.560043052929789009e-01 1.560043052929789009e-01 1.560043052929789009e-01
1.000000000000000000e+00 1.645319918853959951e-01 1.645319918853959951e-01 1.645319918853959951e-01 1.645319918853959951e-01
2.000000000000000000e+00 2.200276494168789954e-01 2.200276494168789954e-01 2.200276494168789954e-01 2.200276494168789954e-01
3.000000000000000000e+00 2.008892812840712139e-01 2.008892812840712139e-01 2.008892812840712139e-01 2.008892812840712139e-01
4.000000000000000000e+00 2.291187800250730766e-01 2.291187800250730766e-01 2.291187800250730766e-01 2.291187800250730766e-01
5.000000000000000000e+00 3.464815832426585418e-01 3.464815832426585418e-01 3.464815832426585418e-01 3.464815832426585418e-01
6.000000000000000000e+00 3.403291546469451867e-01 3.403291546469451867e-01 3.403291546469451867e-01 3.403291546469451867e-01
7.000000000000000000e+00 4.684507662599303734e-01 4.684507662599303734e-01 4.684507662599303734e-01 4.684507662599303734e-01
8.000000000000000000e+00 5.778883743212935853e-01 5.778883743212935853e-01 5.778883743212935853e-01 5.778883743212935853e-01
9.000000000000000000e+00 7.212466206242960087e-01 7.212466206242960087e-01 7.212466206242960087e-01 7.212466206242960087e-01
1.000000000000000000e+01 6.278672801770599499e-01 6.278672801770599499e-01 6.278672801770599499e-01 6.278672801770599499e-01
1.100000000000000000e+01 6.098330095978805598e-01 6.098330095978805598e-01 6.098330095978805598e-01 6.098330095978805598e-01
1.200000000000000000e+01 7.952146105319688463e-01 7.952146105319688463e-01 7.952146105319688463e-01 7.952146105319688463e-01
1.300000000000000000e+01 7.857798226565669841e-01 7.857798226565669841e-01 7.857798226565669841e-01 7.857798226565669841e-01
1.400000000000000000e+01 7.903001988409372736e-01 7.903001988409372736e-01 7.903001988409372736e-01 7.903001988409372736e-01
1.500000000000000000e+01 7.631442760607710651e-01 7.631442760607710651e-01 7.631442760607710651e-01 7.631442760607710651e-01
1.600000000000000000e+01 9.089640939451650858e-01 9.089640939451650858e-01 9.089640939451650858e-01 9.089640939451650858e-01
1.700000000000000000e+01 9.117374577697489046e-01 9.117374577697489046e-01 9.117374577697489046e-01 9.117374577697489046e-01
1.800000000000000000e+01 8.655278295947931300e-01 8.655278295947931300e-01 8.655278295947931300e-01 8.655278295947931300e-01
1.900000000000000000e+01 8.863505311962985855e-01 8.863505311962985855e-01 8.863505311962985855e-01 8.863505311962985855e-01
2.000000000000000000e+01 7.862155485853080661e-01 7.862155485853080661e-01 7.862155485853080661e-01 7.862155485853080661e-01
2.100000000000000000e+01 9.197012553169936488e-01 9.197012553169936488e-01 9.197012553169936488e-01 9.197012553169936488e-01
2.200000000000000000e+01 7.657433090856720082e-01 7.657433090856720082e-01 7.657433090856720082e-01 7.657433090856720082e-01
2.300000000000000000e+01 7.889073224472442636e-01 7.889073224472442636e-01 7.889073224472442636e-01 7.889073224472442636e-01
2.400000000000000000e+01 8.217621641185199888e-01 8.217621641185199888e-01 8.217621641185199888e-01 8.217621641185199888e-01
2.500000000000000000e+01 8.576502757326829318e-01 8.576502757326829318e-01 8.576502757326829318e-01 8.576502757326829318e-01
2.600000000000000000e+01 8.197654280665882531e-01 8.197654280665882531e-01 8.197654280665882531e-01 8.197654280665882531e-01
2.700000000000000000e+01 1.097581170241013426e+00 1.097581170241013426e+00 1.097581170241013426e+00 1.097581170241013426e+00
2.800000000000000000e+01 7.966286888434713775e-01 7.966286888434713775e-01 7.966286888434713775e-01 7.966286888434713775e-01
2.900000000000000000e+01 1.119567578543857689e+00 1.119567578543857689e+00 1.119567578543857689e+00 1.119567578543857689e+00
3.000000000000000000e+01 1.606895930345580537e+00 1.606895930345580537e+00 1.606895930345580537e+00 1.606895930345580537e+00
3.100000000000000000e+01 1.759048068533170639e+00 1.759048068533170639e+00 1.759048068533170639e+00 1.759048068533170639e+00
3.200000000000000000e+01 1.434212224319222573e+00 1.434212224319222573e+00 1.434212224319222573e+00 1.434212224319222573e+00
3.300000000000000000e+01 1.295104258144518683e+00 1.295104258144518683e+00 1.295104258144518683e+00 1.295104258144518683e+00
3.400000000000000000e+01 1.197823149911522611e+00 1.197823149911522611e+00 1.197823149911522611e+00 1.197823149911522611e+00
3.500000000000000000e+01 1.006792446982983646e+00 1.006792446982983646e+00 1.006792446982983646e+00 1.006792446982983646e+00
3.600000000000000000e+01 7.965937723852798413e-01 7.965937723852798413e-01 7.965937723852798413e-01 7.965937723852798413e-01
3.700000000000000000e+01 7.966792705950047626e-01 7.966792705950047626e-01 7.966792705950047626e-01 7.966792705950047626e-01
3.800000000000000000e+01 8.407149702471994335e-01 8.407149702471994335e-01 8.407149702471994335e-01 8.407149702471994335e-01
3.900000000000000000e+01 7.366108287971083746e-01 7.366108287971083746e-01 7.366108287971083746e-01 7.366108287971083746e-01
4.000000000000000000e+01 8.293728627228240669e-01 8.293728627228240669e-01 8.293728627228240669e-01 8.293728627228240669e-01
4.100000000000000000e+01 7.825544952335687920e-01 7.825544952335687920e-01 7.825544952335687920e-01 7.825544952335687920e-01
4.200000000000000000e+01 8.327610059084183947e-01 8.327610059084183947e-01 8.327610059084183947e-01 8.327610059084183947e-01
4.300000000000000000e+01 7.486379681282138154e-01 7.486379681282138154e-01 7.486379681282138154e-01 7.486379681282138154e-01
4.400000000000000000e+01 8.832900164025113687e-01 8.832900164025113687e-01 8.832900164025113687e-01 8.832900164025113687e-01
4.500000000000000000e+01 1.012262303912816908e+00 1.012262303912816908e+00 1.012262303912816908e+00 1.012262303912816908e+00
4.600000000000000000e+01 1.014868847544414976e+00 1.014868847544414976e+00 1.014868847544414976e+00 1.014868847544414976e+00
4.700000000000000000e+01 1.642121412855662488e+00 1.642121412855662488e+00 1.642121412855662488e+00 1.642121412855662488e+00
4.800000000000000000e+01 1.722807221349339502e+00 1.722807221349339502e+00 1.722807221349339502e+00 1.722807221349339502e+00
4.900000000000000000e+01 1.781202306846737971e+00 1.781202306846737971e+00 1.781202306846737971e+00 1.781202306846737971e+00
5.000000000000000000e+01 1.762028108038659280e+00 1.762028108038659280e+00 1.762028108038659280e+00 1.762028108038659280e+00
5.100000000000000000e+01 1.729358235248691145e+00 1.729358235248691145e+00 1.729358235248691145e+00 1.729358235248691145e+00
5.200000000000000000e+01 1.634735583915664980e+00 1.634735583915664980e+00 1.634735583915664980e+00 1.634735583915664980e+00
5.300000000000000000e+01 1.797637649934012538e+00 1.797637649934012538e+00 1.797637649934012538e+00 1.797637649934012538e+00
5.400000000000000000e+01 1.591742089229629675e+00 1.591742089229629675e+00 1.591742089229629675e+00 1.591742089229629675e+00
5.500000000000000000e+01 1.360577333958563839e+00 1.360577333958563839e+00 1.360577333958563839e+00 1.360577333958563839e+00
5.600000000000000000e+01 1.379451914070477958e+00 1.379451914070477958e+00 1.379451914070477958e+00 1.379451914070477958e+00
5.700000000000000000e+01 1.505275204967135627e+00 1.505275204967135627e+00 1.505275204967135627e+00 1.505275204967135627e+00
5.800000000000000000e+01 1.744935323510458547e+00 1.744935323510458547e+00 1.744935323510458547e+00 1.744935323510458547e+00
5.900000000000000000e+01 1.719058047193727123e+00 1.719058047193727123e+00 1.719058047193727123e+00 1.719058047193727123e+00
6.000000000000000000e+01 1.770436110042461930e+00 1.770436110042461930e+00 1.770436110042461930e+00 1.770436110042461930e+00
6.100000000000000000e+01 1.784004881057340119e+00 1.784004881057340119e+00 1.784004881057340119e+00 1.784004881057340119e+00
6.200000000000000000e+01 1.773116475845224693e+00 1.773116475845224693e+00 1.773116475845224693e+00 1.773116475845224693e+00
6.300000000000000000e+01 1.574341088468160788e+00 1.574341088468160788e+00 1.574341088468160788e+00 1.574341088468160788e+00
6.400000000000000000e+01 1.520372089401764715e+00 1.520372089401764715e+00 1.520372089401764715e+00 1.520372089401764715e+00
6.500000000000000000e+01 1.619868258979813902e+00 1.619868258979813902e+00 1.619868258979813902e+00 1.619868258979813902e+00
6.600000000000000000e+01 1.531455243214240314e+00 1.531455243214240314e+00 1.531455243214240314e+00 1.531455243214240314e+00
