Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 9.365938809421402444e-01 9.365938809421402444e-01 9.365938809421402444e-01 9.365938809421402444e-01
1.000000000000000000e+00 1.714441753586203543e+00 1.714441753586203543e+00 1.714441753586203543e+00 1.714441753586203543e+00
2.000000000000000000e+00 3.511297531524136817e-01 3.511297531524136817e-01 3.511297531524136817e-01 3.511297531524136817e-01
3.000000000000000000e+00 -2.506418814660031025e+00 -2.506418814660031025e+00 -2.506418814660031025e+00 -2.506418814660031025e+00
4.000000000000000000e+00 4.254046854744167883e-01 4.254046854744167883e-01 4.254046854744167883e-01 4.254046854744167883e-01
5.000000000000000000e+00 1.790290970408488391e+00 1.790290970408488391e+00 1.790290970408488391e+00 1.790290970408488391e+00
6.000000000000000000e+00 2.757492104184646742e-01 2.757492104184646742e-01 2.757492104184646742e-01 2.757492104184646742e-01
7.000000000000000000e+00 3.440008971429746043e-01 3.440008971429746043e-01 3.440008971429746043e-01 3.440008971429746043e-01
8.000000000000000000e+00 4.270479816391493655e-01 4.270479816391493655e-01 4.270479816391493655e-01 4.270479816391493655e-01
9.000000000000000000e+00 3.157601484664473435e-01 3.157601484664473435e-01 3.157601484664473435e-01 3.157601484664473435e-01
1.000000000000000000e+01 1.635237802404517771e+00 1.635237802404517771e+00 1.635237802404517771e+00 1.635237802404517771e+00
1.100000000000000000e+01 5.291375320763082035e-01 5.291375320763082035e-01 5.291375320763082035e-01 5.291375320763082035e-01
1.200000000000000000e+01 1.191786970752859665e+00 1.191786970752859665e+00 1.191786970752859665e+00 1.191786970752859665e+00
1.300000000000000000e+01 4.922136975137026416e-01 4.922136975137026416e-01 4.922136975137026416e-01 4.922136975137026416e-01
1.400000000000000000e+01 7.840232440971173222e-01 7.840232440971173222e-01 7.840232440971173222e-01 7.840232440971173222e-01
1.500000000000000000e+01 1.141049204490338864e+00 1.141049204490338864e+00 1.141049204490338864e+00 1.141049204490338864e+00
1.600000000000000000e+01 1.040156368279177235e+00 1.040156368279177235e+00 1.040156368279177235e+00 1.040156368279177235e+00
1.700000000000000000e+01 1.189475862309103515e+00 1.189475862309103515e+00 1.189475862309103515e+00 1.189475862309103515e+00
1.800000000000000000e+01 1.123318671107386146e+00 1.123318671107386146e+00 1.123318671107386146e+00 1.123318671107386146e+00
1.900000000000000000e+01 1.095207844172231715e+00 1.095207844172231715e+00 1.095207844172231715e+00 1.095207844172231715e+00
2.000000000000000000e+01 1.012711670618346327e+00 1.012711670618346327e+00 1.012711670618346327e+00 1.012711670618346327e+00
2.100000000000000000e+01 1.298060749115306889e+00 1.298060749115306889e+00 1.298060749115306889e+00 1.298060749115306889e+00
2.200000000000000000e+01 8.608288613532932843e-01 8.608288613532932843e-01 8.608288613532932843e-01 8.608288613532932843e-01
2.300000000000000000e+01 1.231087650812692003e+00 1.231087650812692003e+00 1.231087650812692003e+00 1.231087650812692003e+00
2.400000000000000000e+01 8.144539375473031084e-01 8.144539375473031084e-01 8.144539375473031084e-01 8.144539375473031084e-01
2.500000000000000000e+01 1.007718986519298587e+00 1.007718986519298587e+00 1.007718986519298587e+00 1.007718986519298587e+00
2.600000000000000000e+01 1.214266047012839467e+00 1.214266047012839467e+00 1.214266047012839467e+00 1.214266047012839467e+00
2.700000000000000000e+01 8.875524750759993253e-01 8.875524750759993253e-01 8.875524750759993253e-01 8.875524750759993253e-01
2.800000000000000000e+01 1.462445228848311629e+00 1.462445228848311629e+00 1.462445228848311629e+00 1.462445228848311629e+00
2.900000000000000000e+01 1.576114209782140563e+00 1.576114209782140563e+00 1.576114209782140563e+00 1.576114209782140563e+00
3.000000000000000000e+01 1.847356630366376207e+00 1.847356630366376207e+00 1.847356630366376207e+00 1.847356630366376207e+00
3.100000000000000000e+01 1.396322280028449159e+00 1.396322280028449159e+00 1.396322280028449159e+00 1.396322280028449159e+00
3.200000000000000000e+01 1.668190365424400134e+00 1.668190365424400134e+00 1.668190365424400134e+00 1.668190365424400134e+00
3.300000000000000000e+01 1.436800473928424804e+00 1.436800473928424804e+00 1.436800473928424804e+00 1.436800473928424804e+00
3.400000000000000000e+01 1.625991881502574010e+00 1.625991881502574010e+00 1.625991881502574010e+00 1.625991881502574010e+00
3.500000000000000000e+01 1.766241012847756586e+00 1.766241012847756586e+00 1.766241012847756586e+00 1.766241012847756586e+00
3.600000000000000000e+01 1.443813879059488103e+00 1.443813879059488103e+00 1.443813879059488103e+00 1.443813879059488103e+00
3.700000000000000000e+01 1.402765589929375389e+00 1.402765589929375389e+00 1.402765589929375389e+00 1.402765589929375389e+00
3.800000000000000000e+01 1.636114318574016124e+00 1.636114318574016124e+00 1.636114318574016124e+00 1.636114318574016124e+00
3.900000000000000000e+01 1.551925168142380240e+00 1.551925168142380240e+00 1.551925168142380240e+00 1.551925168142380240e+00
4.000000000000000000e+01 1.472988582109700628e+00 1.472988582109700628e+00 1.472988582109700628e+00 1.472988582109700628e+00
4.100000000000000000e+01 1.805019986146475075e+00 1.805019986146475075e+00 1.805019986146475075e+00 1.805019986146475075e+00
4.200000000000000000e+01 1.452693069142682258e+00 1.452693069142682258e+00 1.452693069142682258e+00 1.452693069142682258e+00
4.300000000000000000e+01 1.795400802343247504e+00 1.795400802343247504e+00 1.795400802343247504e+00 1.795400802343247504e+00
4.400000000000000000e+01 1.528613149431462981e+00 1.528613149431462981e+00 1.528613149431462981e+00 1.528613149431462981e+00
4.500000000000000000e+01 1.229269774376760660e+00 1.229269774376760660e+00 1.229269774376760660e+00 1.229269774376760660e+00
4.600000000000000000e+01 1.822415582089861763e+00 1.822415582089861763e+00 1.822415582089861763e+00 1.822415582089861763e+00
4.700000000000000000e+01 1.485205509490394649e+00 1.485205509490394649e+00 1.485205509490394649e+00 1.485205509490394649e+00
4.800000000000000000e+01 1.728515270336506315e+00 1.728515270336506315e+00 1.728515270336506315e+00 1.728515270336506315e+00
4.900000000000000000e+01 2.296546706521141346e+00 2.296546706521141346e+00 2.296546706521141346e+00 2.296546706521141346e+00
5.000000000000000000e+01 2.119655718198917072e+00 2.119655718198917072e+00 2.119655718198917072e+00 2.119655718198917072e+00
5.100000000000000000e+01 2.129602207952936421e+00 2.129602207952936421e+00 2.129602207952936421e+00 2.129602207952936421e+00
5.200000000000000000e+01 2.296069254017672812e+00 2.296069254017672812e+00 2.296069254017672812e+00 2.296069254017672812e+00
5.300000000000000000e+01 2.106536080848052883e+00 2.106536080848052883e+00 2.106536080848052883e+00 2.106536080848052883e+00
