Delays Time-delay1 Time-delay2 Time-delay3 Time-delay4
0.000000000000000000e+00 -1.023033392979840972e+00 -1.023033392979840972e+00 -1.023033392979840972e+00 -1.023033392979840972e+00
1.000000000000000000e+00 -7.967379783769188428e-01 -7.967379783769188428e-01 -7.967379783769188428e-01 -7.967379783769188428e-01
2.000000000000000000e+00 -6.597690417574025856e-01 -6.597690417574025856e-01 -6.597690417574025856e-01 -6.597690417574025856e-01
3.000000000000000000e+00 -5.668046301424427558e-01 -5.668046301424427558e-01 -5.668046301424427558e-01 -5.668046301424427558e-01
4.000000000000000000e+00 -4.379734307058341658e-01 -4.379734307058341658e-01 -4.379734307058341658e-01 -4.379734307058341658e-01
5.000000000000000000e+00 -2.548860436448971978e-01 -2.548860436448971978e-01 -2.548860436448971978e-01 -2.548860436448971978e-01
6.000000000000000000e+00 -2.234299800368583222e-01 -2.234299800368583222e-01 -2.234299800368583222e-01 -2.234299800368583222e-01
7.000000000000000000e+00 -3.164011461114439594e-02 -3.164011461114439594e-02 -3.164011461114439594e-02 -3.164011461114439594e-02
8.000000000000000000e+00 1.033707928120705943e-01 1.033707928120705943e-01 1.033707928120705943e-01 1.033707928120705943e-01
9.000000000000000000e+00 2.209798681539505150e-01 2.209798681539505150e-01 2.209798681539505150e-01 2.209798681539505150e-01
1.000000000000000000e+01 6.318351340747722922e-02 6.318351340747722922e-02 6.318351340747722922e-02 6.318351340747722922e-02
1.100000000000000000e+01 1.957890195862889704e-01 1.957890195862889704e-01 1.957890195862889704e-01 1.957890195862889704e-01
1.200000000000000000e+01 4.640544822353029897e-01 4.640544822353029897e-01 4.640544822353029897e-01 4.640544822353029897e-01
1.300000000000000000e+01 4.383428446240758558e-01 4.383428446240758558e-01 4.383428446240758558e-01 4.383428446240758558e-01
1.400000000000000000e+01 4.559618189282469425e-01 4.559618189282469425e-01 4.559618189282469425e-01 4.559618189282469425e-01
1.500000000000000000e+01 5.805576351696498660e-01 5.805576351696498660e-01 5.805576351696498660e-01 5.805576351696498660e-01
1.600000000000000000e+01 6.891600550202467979e-01 6.891600550202467979e-01 6.891600550202467979e-01 6.891600550202467979e-01
1.700000000000000000e+01 6.807391242889491156e-01 6.807391242889491156e-01 6.807391242889491156e-01 6.807391242889491156e-01
1.800000000000000000e+01 6.520683554683081029e-01 6.520683554683081029e-01 6.520683554683081029e-01 6.520683554683081029e-01
1.900000000000000000e+01 6.223459053963590337e-01 6.223459053963590337e-01 6.223459053963590337e-01 6.223459053963590337e-01
2.000000000000000000e+01 5.365756953660397732e-01 5.365756953660397732e-01 5.365756953660397732e-01 5.365756953660397732e-01
2.100000000000000000e+01 6.734527866928071704e-01 6.734527866928071704e-01 6.734527866928071704e-01 6.734527866928071704e-01
2.200000000000000000e+01 4.876347250015396484e-01 4.876347250015396484e-01 4.876347250015396484e-01 4.876347250015396484e-01
2.300000000000000000e+01 3.922933300813382651e-01 3.922933300813382651e-01 3.922933300813382651e-01 3.922933300813382651e-01
2.400000000000000000e+01 6.927223265780554362e-01 6.927223265780554362e-01 6.927223265780554362e-01 6.927223265780554362e-01
2.500000000000000000e+01 5.937067758361461722e-01 5.937067758361461722e-01 5.937067758361461722e-01 5.937067758361461722e-01
2.600000000000000000e+01 6.096708865282310930e-01 6.096708865282310930e-01 6.096708865282310930e-01 6.096708865282310930e-01
2.700000000000000000e+01 5.893609349601889313e-01 5.893609349601889313e-01 5.893609349601889313e-01 5.893609349601889313e-01
2.800000000000000000e+01 9.544155488917214214e-01 9.544155488917214214e-01 9.544155488917214214e-01 9.544155488917214214e-01
2.900000000000000000e+01 8.644321063867356214e-01 8.644321063867356214e-01 8.644321063867356214e-01 8.644321063867356214e-01
3.000000000000000000e+01 1.042548713066589139e+00 1.042548713066589139e+00 1.042548713066589139e+00 1.042548713066589139e+00
3.100000000000000000e+01 1.089510697856418409e+00 1.089510697856418409e+00 1.089510697856418409e+00 1.089510697856418409e+00
3.200000000000000000e+01 1.377176234693274326e+00 1.377176234693274326e+00 1.377176234693274326e+00 1.377176234693274326e+00
3.300000000000000000e+01 1.133552055550120397e+00 1.133552055550120397e+00 1.133552055550120397e+00 1.133552055550120397e+00
3.400000000000000000e+01 1.040530150181260716e+00 1.040530150181260716e+00 1.040530150181260716e+00 1.040530150181260716e+00
3.500000000000000000e+01 8.250290792798007367e-01 8.250290792798007367e-01 8.250290792798007367e-01 8.250290792798007367e-01
3.600000000000000000e+01 5.913162834531497936e-01 5.913162834531497936e-01 5.913162834531497936e-01 5.913162834531497936e-01
3.700000000000000000e+01 7.073297665048301486e-01 7.073297665048301486e-01 7.073297665048301486e-01 7.073297665048301486e-01
3.800000000000000000e+01 7.263176283140206912e-01 7.263176283140206912e-01 7.263176283140206912e-01 7.263176283140206912e-01
3.900000000000000000e+01 8.356562658412123312e-01 8.356562658412123312e-01 8.356562658412123312e-01 8.356562658412123312e-01
4.000000000000000000e+01 9.896437030695556247e-01 9.896437030695556247e-01 9.896437030695556247e-01 9.896437030695556247e-01
4.100000000000000000e+01 9.183898724965584570e-01 9.183898724965584570e-01 9.183898724965584570e-01 9.183898724965584570e-01
